# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = BAO_model
# start_datetime = 2023-07-24 10:20:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmpzlq1t49o/1ffs1emt.json
# init = /tmp/tmpzlq1t49o/f88cv5v3.json
# random
#   seed = 89435
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/LCDM/BAO/BAO-20230724112018.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Om,rf,c,theta.1,theta.2,Dv,dv.1,dv.2,dv.3,dv.4,dv.5,dv.6
# Adaptation terminated
# Step size = 0.32805
# Diagonal elements of inverse mass matrix:
# 0.000548955, 0.00233124
-1.97643,0.974053,0.32805,3,7,0,3.11339,0.713976,0.376826,147.78,299792,0.713976,0.376826,3458.06,1278.22,1669.45,2045.1,2125.23,2446.67,3746.7
-4.37565,0.967186,0.32805,3,7,0,4.51297,0.751271,0.459844,147.78,299792,0.751271,0.459844,3088.33,1280.62,1660.95,2021.55,2097.93,2402.56,3611.38
-2.2233,0.979289,0.32805,3,15,0,4.3418,0.720413,0.391047,147.78,299792,0.720413,0.391047,3388.47,1279.29,1668.73,2041.79,2121.26,2439.7,3722.85
-1.58414,0.999911,0.32805,3,11,0,2.38934,0.702107,0.341467,147.78,299792,0.702107,0.341467,3622.54,1270.25,1664.51,2045.44,2126.99,2455.08,3795.68
-2.28276,0.876009,0.32805,2,7,0,2.56669,0.702188,0.36811,147.78,299792,0.702188,0.36811,3541.23,1284.4,1678.85,2058.16,2139.14,2464.21,3782.06
-1.93577,1,0.32805,1,1,0,2.21971,0.703483,0.362484,147.78,299792,0.703483,0.362484,3551.24,1280.36,1674.43,2053.75,2134.78,2460.18,3781.5
-2.48517,0.950188,0.32805,3,15,0,2.92086,0.72628,0.382199,147.78,299792,0.72628,0.382199,3384.79,1270.06,1658,2030.15,2109.5,2427.64,3712.53
-1.57823,0.883484,0.32805,3,15,0,3.15857,0.693449,0.319026,147.78,299792,0.693449,0.319026,3742.13,1264.77,1660.98,2045.43,2127.94,2460.59,3829.83
-2.13764,0.959812,0.32805,4,15,0,3.43686,0.720464,0.374856,147.78,299792,0.720464,0.374856,3432.4,1271.57,1661.06,2035.17,2114.99,2435.21,3731.03
-2.12387,0.985953,0.32805,2,3,0,2.32575,0.715525,0.384385,147.78,299792,0.715525,0.384385,3429.67,1280.48,1671.27,2046.02,2125.91,2446.16,3738.81
-2.42862,0.966104,0.32805,2,3,0,2.46614,0.71158,0.387683,147.78,299792,0.71158,0.387683,3439.66,1285.53,1677.37,2052.92,2132.96,2453.72,3747.31
-1.94996,0.991119,0.32805,2,3,0,2.48701,0.714336,0.375414,147.78,299792,0.714336,0.375414,3460.27,1277.21,1668.35,2043.99,2124.14,2445.65,3746.49
-2.09403,0.920136,0.32805,2,7,0,3.12988,0.713539,0.349778,147.78,299792,0.713539,0.349778,3538.98,1264.74,1655.97,2033.4,2114.14,2438.7,3761.49
-1.9465,1,0.32805,1,1,0,2.08841,0.712549,0.352028,147.78,299792,0.712549,0.352028,3537.09,1266.81,1658.34,2035.89,2116.63,2441.17,3762.95
-2.33526,0.963736,0.32805,2,3,0,2.38062,0.700701,0.366295,147.78,299792,0.700701,0.366295,3554.06,1284.82,1679.68,2059.5,2140.61,2466.22,3786.94
-1.81756,1,0.32805,2,3,0,2.20429,0.708476,0.344864,147.78,299792,0.708476,0.344864,3579.39,1266.5,1659.05,2038.09,2119.21,2445.47,3777.15
-1.70906,1,0.32805,2,7,0,1.90863,0.708467,0.354763,147.78,299792,0.708467,0.354763,3549.21,1271.87,1664.53,2042.99,2123.9,2449.05,3772.25
-1.67023,0.901177,0.32805,2,3,0,2.30201,0.706382,0.353489,147.78,299792,0.706382,0.353489,3563.54,1273.04,1666.26,2045.35,2126.4,2452.17,3778.38
-2.76967,0.827448,0.32805,3,11,0,3.25003,0.718286,0.347669,147.78,299792,0.718286,0.347669,3521.97,1259.47,1649.41,2025.73,2106.24,2429.98,3750.26
-3.17242,0.882656,0.32805,3,15,0,4.01627,0.713965,0.331716,147.78,299792,0.713965,0.331716,3593.13,1254.27,1645.12,2023.44,2104.52,2431.01,3769.19
-3.33286,1,0.32805,2,7,0,3.47508,0.704308,0.388966,147.78,299792,0.704308,0.388966,3471.65,1292.66,1686.48,2063.85,2144.27,2466.51,3765.66
-1.87149,0.969082,0.32805,3,11,0,3.62356,0.705349,0.334632,147.78,299792,0.705349,0.334632,3627.61,1263.49,1656.74,2037.18,2118.69,2446.81,3790.41
-1.86397,0.961871,0.32805,4,15,0,2.6397,0.706427,0.364661,147.78,299792,0.706427,0.364661,3530.03,1278.84,1672.12,2050.51,2131.33,2455.82,3772.61
-1.6899,0.997839,0.32805,3,11,0,2.22772,0.67437,0.293268,147.78,299792,0.67437,0.293268,3942.92,1265.23,1665.98,2056.88,2141.03,2481.19,3894.64
-1.88363,0.99829,0.32805,2,7,0,1.98377,0.667417,0.27977,147.78,299792,0.667417,0.27977,4037.74,1261.94,1664.04,2057.39,2142.22,2485.62,3920.28
-2.14887,0.902157,0.32805,2,5,0,2.40577,0.659458,0.272475,147.78,299792,0.659458,0.272475,4116.97,1263.87,1667.9,2063.79,2149.24,2495.47,3946.45
-2.39214,0.959064,0.32805,1,3,0,2.46619,0.655541,0.270846,147.78,299792,0.655541,0.270846,4148.54,1266.31,1671.43,2068.52,2154.25,2501.68,3958.69
-1.89738,0.890753,0.32805,2,7,0,2.86602,0.66956,0.279315,147.78,299792,0.66956,0.279315,4026.67,1259.61,1661.05,2053.79,2138.49,2481.4,3914.28
-1.77723,0.93386,0.32805,3,15,0,2.20769,0.687906,0.329835,147.78,299792,0.687906,0.329835,3735.51,1276.36,1674.4,2059.82,2142.44,2475.18,3839.83
-1.76733,0.995639,0.32805,3,11,0,2.05051,0.67318,0.296684,147.78,299792,0.67318,0.296684,3936.8,1268.71,1669.96,2061.06,2145.23,2485.3,3896.54
-2.24781,0.833638,0.32805,2,5,0,2.69207,0.690797,0.299813,147.78,299792,0.690797,0.299813,3824.85,1254.77,1651.07,2037.11,2120.14,2455.57,3845.85
-1.90656,0.349413,0.32805,4,15,0,7.36014,0.667062,0.278343,147.78,299792,0.667062,0.278343,4045.72,1261.21,1663.32,2056.82,2141.7,2485.34,3921.89
-1.91555,0.850195,0.32805,2,3,0,2.26331,0.666128,0.278504,147.78,299792,0.666128,0.278504,4050.73,1262.2,1664.6,2058.37,2143.3,2487.16,3924.53
-1.9744,0.984942,0.32805,3,7,0,2.0229,0.664868,0.282071,147.78,299792,0.664868,0.282071,4043.84,1266.03,1669.02,2063.05,2147.99,2491.79,3926.74
-1.63203,0.975581,0.32805,3,11,0,2.87111,0.702405,0.336821,147.78,299792,0.702405,0.336821,3635.78,1267.35,1661.46,2042.56,2124.19,2452.74,3797.17
-2.44941,0.871309,0.32805,2,3,0,2.5195,0.705234,0.322959,147.78,299792,0.705234,0.322959,3666.4,1256.7,1649.74,2030.81,2112.56,2442.02,3796.3
-1.6922,0.991961,0.32805,2,7,0,2.57386,0.702843,0.353004,147.78,299792,0.702843,0.353004,3582.96,1275.93,1670.12,2050.18,2131.45,2458.07,3787.99
-1.76602,0.979882,0.32805,3,15,0,2.04776,0.709905,0.353257,147.78,299792,0.709905,0.353257,3546.56,1269.79,1662.05,2040.23,2121.09,2446.08,3769.24
-3.30802,0.659238,0.32805,2,3,0,3.79092,0.691907,0.362186,147.78,299792,0.691907,0.362186,3611.55,1290.72,1688.03,2070.47,2152.18,2480.29,3812.71
-1.93998,1,0.32805,1,3,0,3.08032,0.700482,0.357523,147.78,299792,0.700482,0.357523,3581.31,1280.46,1675.34,2055.76,2137.07,2463.72,3792
-3.53306,0.846956,0.32805,3,11,0,3.59144,0.728241,0.362183,147.78,299792,0.728241,0.362183,3431.36,1258.56,1645.97,2018.89,2098.55,2418.49,3717.71
-1.95741,1,0.32805,2,3,0,3.31988,0.710864,0.373482,147.78,299792,0.710864,0.373482,3482.64,1279.33,1671.41,2048.08,2128.46,2450.97,3756.49
-1.93015,0.966233,0.32805,2,3,0,2.11141,0.715483,0.365774,147.78,299792,0.715483,0.365774,3482.14,1271.4,1662.22,2038.18,2118.47,2440.8,3748.43
-1.94937,0.993993,0.32805,3,15,0,3.0218,0.669129,0.277389,147.78,299792,0.669129,0.277389,4037.13,1258.57,1660.01,2052.94,2137.7,2480.93,3916.29
-2.31081,0.992487,0.32805,3,15,0,3.7373,0.724531,0.387883,147.78,299792,0.724531,0.387883,3377.64,1274.24,1662.61,2034.83,2114.15,2432.05,3714.03
-2.32631,0.990843,0.32805,3,7,0,2.43621,0.724816,0.390409,147.78,299792,0.724816,0.390409,3369.58,1275.16,1663.44,2035.42,2114.67,2432.22,3712.01
-1.56574,0.978455,0.32805,3,15,0,2.4553,0.697596,0.328543,147.78,299792,0.697596,0.328543,3687.9,1266.82,1662.1,2044.94,2127.02,2457.62,3814.07
-1.66081,0.991448,0.32805,2,3,0,1.66708,0.695165,0.339981,147.78,299792,0.695165,0.339981,3663.46,1275.65,1671.82,2054.7,2136.68,2466.56,3815.06
-2.45418,0.893288,0.32805,3,11,0,2.61878,0.694043,0.355175,147.78,299792,0.694043,0.355175,3621.71,1285.05,1681.71,2064.01,2145.74,2474.15,3810.49
-1.64538,0.950777,0.32805,2,3,0,2.75225,0.704448,0.351326,147.78,299792,0.704448,0.351326,3579.92,1273.6,1667.33,2047.06,2128.27,2454.72,3784.57
-1.56089,0.978889,0.32805,3,15,0,2.57493,0.682022,0.306256,147.78,299792,0.682022,0.306256,3850.35,1267,1666.05,2054.26,2137.7,2474.53,3867.27
-1.70743,0.955398,0.32805,3,11,0,1.87572,0.691444,0.334753,147.78,299792,0.691444,0.334753,3700.17,1276.02,1673.15,2057.34,2139.65,2470.99,3827.74
-2.06517,0.797507,0.32805,2,7,0,3.22285,0.697167,0.354329,147.78,299792,0.697167,0.354329,3608.07,1281.76,1677.53,2059.04,2140.6,2468.39,3802.49
-2.27071,0.999365,0.32805,2,7,0,2.81137,0.718572,0.359865,147.78,299792,0.718572,0.359865,3484.28,1265.68,1655.64,2031.17,2111.41,2433.72,3743.46
-2.03819,1,0.32805,1,1,0,2.22456,0.71679,0.363182,147.78,299792,0.71679,0.363182,3483.28,1268.94,1659.39,2035.18,2115.45,2437.78,3746.37
-3.12669,0.795695,0.32805,3,7,0,4.04709,0.729034,0.372109,147.78,299792,0.729034,0.372109,3399.65,1262.84,1650.07,2022.17,2101.59,2420.25,3710.73
-4.55204,0.852607,0.32805,2,7,0,5.26602,0.718848,0.436496,147.78,299792,0.718848,0.436496,3281.45,1299.98,1689.2,2059.46,2138.03,2451.85,3703.08
-3.2511,0.796128,0.32805,1,3,0,6.53474,0.738919,0.416189,147.78,299792,0.738919,0.416189,3240.41,1274.31,1658.64,2025.35,2103.3,2415.06,3663.67
-2.33795,0.863851,0.32805,3,11,0,5.12504,0.686917,0.338819,147.78,299792,0.686917,0.338819,3711.23,1282.51,1681,2066.21,2148.7,2480.65,3838.15
-1.79567,0.985925,0.32805,2,3,0,2.34184,0.69033,0.306827,147.78,299792,0.69033,0.306827,3801.96,1259.83,1656.53,2042.4,2125.34,2460.1,3844
-1.56413,0.887075,0.32805,3,11,0,2.74826,0.699299,0.33324,147.78,299792,0.699299,0.33324,3663.52,1268.06,1662.96,2045.09,2126.97,2456.65,3807.22
-2.08765,0.949039,0.32805,3,15,0,3.41584,0.718877,0.369793,147.78,299792,0.718877,0.369793,3454.23,1270.46,1660.37,2035.2,2115.22,2436.36,3737.66
-1.72478,0.997853,0.32805,3,11,0,2.68092,0.700527,0.351141,147.78,299792,0.700527,0.351141,3600.52,1277,1671.82,2052.61,2134.05,2461.42,3795.09
-1.6024,0.919384,0.32805,3,15,0,3.00876,0.68565,0.319373,147.78,299792,0.68565,0.319373,3783.49,1272.06,1670.49,2057.08,2140.04,2474.51,3851.08
-2.31024,0.79339,0.32805,2,3,0,2.56319,0.690868,0.299088,147.78,299792,0.690868,0.299088,3827.12,1254.21,1650.47,2036.51,2119.56,2455.05,3845.98
