                   Mean      MCSE        StdDev             5%            50%            95%       N_Eff    N_Eff/s    R_hat
lp__          -2.504010  0.019774  1.000270e+00      -4.484270      -2.202040      -1.554920  2558.94000  141.85600  1.00061
h              0.695009  0.000608  2.647260e-02       0.649708       0.695997       0.736847  1893.54000  104.96900  1.00275
Om             0.335853  0.001236  5.409040e-02       0.254160       0.332058       0.432884  1914.40000  106.12600  1.00221
rf           147.780000       NaN  2.273850e-12     147.780000     147.780000     147.780000         NaN        NaN      NaN
c         299792.000000       NaN  1.204960e-08  299792.000000  299792.000000  299792.000000         NaN        NaN      NaN
theta[1]       0.695009  0.000608  2.647260e-02       0.649708       0.695997       0.736847  1893.54000  104.96900  1.00275
theta[2]       0.335853  0.001236  5.409040e-02       0.254160       0.332058       0.432884  1914.40000  106.12600  1.00221
Dv          3703.884710  7.290330  3.137246e+02    3215.290000    3684.030000    4249.820000  1851.83615  102.65736  1.00262
dv[1]       1270.230000  0.191512  1.256640e+01    1249.970000    1269.960000    1290.970000  4305.59000  238.68200  1.00039
dv[2]       1665.780000  0.123390  1.191510e+01    1646.100000    1665.640000    1685.430000  9324.59000  516.91300  1.00000
dv[3]       2048.700000  0.247267  1.548430e+01    2022.900000    2048.880000    2073.730000  3921.48000  217.38900  1.00138
dv[4]       2130.780000  0.300633  1.715290e+01    2102.280000    2130.970000    2158.860000  3255.37000  180.46300  1.00170
dv[5]       2461.390000  0.565571  2.668880e+01    2416.860000    2461.700000    2505.340000  2226.81000  123.44400  1.00244
dv[6]       3818.470000  2.232550  9.613780e+01    3662.680000    3816.260000    3979.840000  1854.32000  102.79500  1.00268
