# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = CC_model
# start_datetime = 2023-07-24 10:21:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmpseqr2vt3/mculhrra.json
# init = /tmp/tmpseqr2vt3/mi8fyus0.json
# random
#   seed = 77511
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/LCDM/CC/CC-20230724112113.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Om,H.1,H.2,H.3,H.4,H.5,H.6,H.7,H.8,H.9,H.10,H.11,H.12,H.13,H.14,H.15,H.16,H.17,H.18,H.19,H.20,H.21,H.22,H.23,H.24,H.25,H.26,H.27,H.28,H.29,H.30,H.31,H.32
# Adaptation terminated
# Step size = 0.369154
# Diagonal elements of inverse mass matrix:
# 0.00222, 0.0368718
-10.4808,0.957791,0.369154,1,1,0,10.5762,0.707778,0.239316,72.6587,73.2338,74.1279,75.7017,75.996,76.6622,76.6959,79.1603,79.5287,82.3007,83.4345,84.2633,84.28,85.3211,86.1848,87.2859,87.6567,87.733,93.0429,97.4431,101.172,102.875,108.228,108.52,109.698,118.083,135.636,140.103,144.958,152.398,169.538,187.243
-10.6105,0.843996,0.369154,2,3,0,12.3887,0.730085,0.271874,75.2088,75.8801,76.9224,78.7533,79.0952,79.8685,79.9076,82.7618,83.1877,86.3853,87.6902,88.6429,88.6622,89.8578,90.8486,92.1106,92.5353,92.6226,98.6877,103.694,107.924,109.853,115.903,116.234,117.562,127.003,146.673,151.664,157.082,165.376,184.442,204.095
-11.1984,0.882692,0.369154,1,1,0,11.3534,0.735772,0.270769,75.7858,76.4596,77.5059,79.344,79.6873,80.4637,80.503,83.3689,83.7965,87.0077,88.3182,89.275,89.2943,90.4952,91.4904,92.758,93.1845,93.2723,99.3649,104.395,108.645,110.583,116.663,116.995,118.33,127.818,147.589,152.606,158.054,166.391,185.56,205.32
-10.4445,0.976329,0.369154,1,3,0,12.2271,0.729848,0.235322,74.8924,75.4758,76.3829,77.9801,78.2789,78.9551,78.9894,81.4919,81.8661,84.6823,85.8346,86.6769,86.6939,87.7523,88.6304,89.75,90.1271,90.2046,95.6061,100.085,103.881,105.616,111.068,111.366,112.566,121.112,139.013,143.571,148.525,156.118,173.615,191.695
-9.44903,0.99593,0.369154,3,7,0,10.8702,0.712816,0.271311,73.4254,74.0795,75.0951,76.8792,77.2124,77.966,78.0041,80.7856,81.2006,84.317,85.5888,86.5173,86.5361,87.7014,88.6672,89.8972,90.3111,90.3962,96.3082,101.188,105.312,107.193,113.091,113.413,114.708,123.913,143.092,147.958,153.242,161.329,179.922,199.087
-9.44272,1,0.369154,3,7,0,9.47602,0.711381,0.267241,73.246,73.8893,74.8883,76.6437,76.9716,77.7132,77.7508,80.4889,80.8976,83.967,85.22,86.1349,86.1534,87.3018,88.2536,89.4661,89.8741,89.958,95.7878,100.602,104.672,106.529,112.352,112.67,113.949,123.041,141.996,146.808,152.032,160.03,178.421,197.383
-8.87148,0.786817,0.369154,3,9,0,10.8639,0.685667,0.305871,70.8873,71.5936,72.689,74.6091,74.9672,75.7764,75.8173,78.7971,79.2409,82.5662,83.9201,84.9076,84.9275,86.1654,87.1903,88.4945,88.933,89.0232,95.2708,100.409,104.739,106.71,112.883,113.219,114.572,124.169,144.082,149.122,154.588,162.945,182.125,201.858
-8.86819,0.995414,0.369154,3,11,0,8.92041,0.675096,0.321218,69.9071,70.6361,71.7659,73.7447,74.1135,74.9466,74.9887,78.0535,78.5095,81.9239,83.3126,84.325,84.3454,85.6141,86.664,87.9994,88.4484,88.5407,94.9296,100.176,104.592,106.602,112.888,113.231,114.608,124.368,144.588,149.699,155.241,163.712,183.138,203.109
-8.91978,0.999439,0.369154,3,11,0,9.00765,0.663374,0.358823,68.9638,69.7605,70.9934,73.1481,73.549,74.454,74.4997,77.821,78.3143,81.9998,83.4954,84.5845,84.6064,85.9699,87.0972,88.5297,89.011,89.1099,95.9422,101.533,106.228,108.361,115.024,115.386,116.843,127.154,148.439,153.806,159.623,168.503,188.841,209.717
-8.91978,0.224923,0.369154,1,3,0,13.6481,0.663374,0.358823,68.9638,69.7605,70.9934,73.1481,73.549,74.454,74.4997,77.821,78.3143,81.9998,83.4954,84.5845,84.6064,85.9699,87.0972,88.5297,89.011,89.1099,95.9422,101.533,106.228,108.361,115.024,115.386,116.843,127.154,148.439,153.806,159.623,168.503,188.841,209.717
