             Mean      MCSE     StdDev          5%         50%         95%     N_Eff   N_Eff/s     R_hat
lp__    -9.812440  0.019477   1.035130  -11.865500   -9.496860   -8.843460   2824.41   3901.12  1.000730
h        0.676467  0.000619   0.031534    0.625239    0.676562    0.728144   2596.74   3586.65  1.000450
Om       0.333719  0.001269   0.063833    0.238897    0.328395    0.445465   2530.16   3494.69  1.000510
H[1]    70.120400  0.055443   2.875330   65.419600   70.132700   74.839500   2689.52   3714.81  1.000420
H[2]    70.871500  0.053572   2.797460   66.328500   70.890900   75.469300   2726.81   3766.31  1.000410
H[3]    72.034700  0.050748   2.683080   67.705100   72.050200   76.440800   2795.28   3860.88  1.000400
H[4]    74.069700  0.046026   2.501790   70.016600   74.069300   78.168700   2954.58   4080.91  1.000360
H[5]    74.448700  0.045177   2.470770   70.426600   74.453600   78.502900   2991.05   4131.28  1.000350
H[6]    75.304400  0.043329   2.403990   71.426400   75.302800   79.244600   3078.29   4251.78  1.000330
H[7]    75.347700  0.043236   2.400740   71.473100   75.346500   79.282900   3083.24   4258.62  1.000330
H[8]    78.492000  0.036807   2.197060   74.903200   78.475100   82.094300   3563.03   4921.31  1.000240
H[9]    78.959400  0.035916   2.172500   75.410300   78.947700   82.525200   3658.96   5053.81  1.000230
H[10]   82.456000  0.029846   2.038270   79.082500   82.462100   85.790900   4664.09   6442.11  1.000100
H[11]   83.876700  0.027699   2.009080   80.529400   83.874600   87.166100   5260.96   7266.52  1.000050
H[12]   84.912000  0.026280   1.996980   81.585600   84.904100   88.175000   5774.21   7975.43  1.000010
H[13]   84.932900  0.026253   1.996810   81.605000   84.924700   88.193700   5785.22   7990.63  1.000010
H[14]   86.229700  0.024681   1.992500   82.917900   86.212900   89.486400   6517.49   9002.06  0.999970
H[15]   87.302500  0.023570   1.997580   83.978100   87.285900   90.566200   7182.80   9921.00  0.999937
H[16]   88.666500  0.022427   2.014790   85.295400   88.651700   91.950200   8070.96  11147.70  0.999901
H[17]   89.124900  0.022115   2.023140   85.745800   89.107900   92.426700   8369.24  11559.70  0.999890
H[18]   89.219100  0.022055   2.025010   85.834100   89.206800   92.515900   8430.00  11643.70  0.999888
H[19]   95.737000  0.022048   2.262650   91.996700   95.736200   99.458400  10531.80  14546.70  0.999812
H[20]  101.082000  0.026463   2.570110   96.866400  101.087000  105.323000   9432.21  13027.90  0.999822
H[21]  105.579000  0.031861   2.872110  100.902000  105.559000  110.325000   8125.94  11223.70  0.999850
H[22]  107.624000  0.034620   3.017440  102.724000  107.595000  112.615000   7596.48  10492.40  0.999864
H[23]  114.018000  0.043595   3.490350  108.381000  113.980000  119.840000   6410.04   8853.65  0.999907
H[24]  114.366000  0.044089   3.516600  108.684000  114.328000  120.242000   6361.76   8786.97  0.999910
H[25]  115.766000  0.046081   3.622590  109.926000  115.723000  121.853000   6180.12   8536.08  0.999918
H[26]  125.684000  0.060190   4.380890  118.560000  125.629000  133.025000   5297.54   7317.04  0.999971
H[27]  146.213000  0.088363   5.933750  136.505000  146.218000  156.131000   4509.43   6228.49  1.000040
H[28]  151.399000  0.095212   6.317470  141.065000  151.409000  161.965000   4402.54   6080.85  1.000050
H[29]  157.023000  0.102524   6.729250  146.015000  157.011000  168.283000   4308.04   5950.33  1.000060
H[30]  165.614000  0.113487   7.350170  153.613000  165.573000  177.869000   4194.71   5793.80  1.000070
H[31]  185.314000  0.137801   8.739790  170.962000  185.258000  199.809000   4022.50   5555.94  1.000090
H[32]  205.561000  0.161841  10.126700  188.910000  205.489000  222.330000   3915.24   5407.78  1.000110
