# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = CMB_model
# start_datetime = 2023-07-24 11:39:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmpd5wvro_r/spscid6m.json
# init = /tmp/tmpd5wvro_r/9xvngoso.json
# random
#   seed = 24453
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/LCDM/CMB/CMB-20230724123932.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Ob,Oc,wr,Or,OL,theta.1,theta.2,theta.3,theta.4,theta.5,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 0.0472541
# Diagonal elements of inverse mass matrix:
# 6.79623e-05, 1.02838e-05, 5.09681e-05
-1.19385,0.968872,0.0472541,3,7,0,1.66377,0.679919,0.047966,0.257848,4.15e-05,8.97706e-05,0.694097,0.679919,0.047966,0.257848,8.97706e-05,0.694097,0.0613403,0.548271,1092.05,0,0,3.15443,3.15443,0.0328668,301.518,1.74441,0.0221742,-0.0519174,0.00371383,-0.000105821
-1.44881,0.939223,0.0472541,2,3,0,2.07381,0.680001,0.0483488,0.257808,4.15e-05,8.9749e-05,0.693753,0.680001,0.0483488,0.257808,8.9749e-05,0.693753,0.0609597,0.5481,1091.8,0,0,3.15302,3.15302,0.0328388,301.64,1.74461,0.0223565,0.069555,0.0039093,7.65088e-05
-2.24054,0.909798,0.0472541,3,7,0,3.29951,0.679857,0.047757,0.257632,4.15e-05,8.97868e-05,0.694521,0.679857,0.047757,0.257632,8.97868e-05,0.694521,0.0615525,0.548365,1092.18,0,0,3.15618,3.15618,0.0328883,301.488,1.74417,0.0220736,-0.0819405,0.00346823,-0.000206444
-1.08889,0.981547,0.0472541,6,79,0,5.15817,0.689988,0.0471199,0.245304,4.15e-05,8.71697e-05,0.707489,0.689988,0.0471199,0.245304,8.71697e-05,0.707489,0.0608015,0.548027,1091.49,0,0,3.2115,3.2115,0.0334539,301.586,1.73666,0.022433,0.0158588,-0.00404312,0.000152976
-0.703157,0.996037,0.0472541,3,7,0,1.22165,0.68997,0.0469652,0.245319,4.15e-05,8.71742e-05,0.707629,0.68997,0.0469652,0.245319,8.71742e-05,0.707629,0.0609562,0.548098,1091.59,0,0,3.21211,3.21211,0.0334661,301.533,1.73657,0.0223582,-0.0366233,-0.00412678,7.81855e-05
-2.03635,0.735524,0.0472541,4,27,0,3.64913,0.691926,0.046797,0.242338,4.15e-05,8.6682e-05,0.710778,0.691926,0.046797,0.242338,8.6682e-05,0.710778,0.0608601,0.548054,1091.46,0,0,3.22603,3.22603,0.0335994,301.639,1.73468,0.0224046,0.068751,-0.00602046,0.000124621
