                   Mean          MCSE        StdDev           5%          50%          95%       N_Eff   N_Eff/s    R_hat
lp__          -1.850610  3.818260e-02  1.178500e+00    -4.118050    -1.556140    -0.549872   952.63500  10.52710  1.00393
h              0.684815  2.873160e-04  6.468480e-03     0.674149     0.684508     0.695716   506.85800   5.60101  1.01106
Ob             0.047526  3.203310e-05  7.368000e-04     0.046279     0.047549     0.048729   529.05300   5.84628  1.00932
Oc             0.251615  3.481790e-04  7.842860e-03     0.238545     0.251914     0.264675   507.39300   5.60693  1.01066
wr             0.000041           NaN  5.353920e-19     0.000041     0.000041     0.000041         NaN       NaN      NaN
Or             0.000089  7.388450e-08  1.669360e-06     0.000086     0.000089     0.000091   510.49600   5.64121  1.01080
OL             0.700770  3.801350e-04  8.554480e-03     0.686606     0.700421     0.715104   506.42200   5.59619  1.01061
theta[1]       0.684815  2.873160e-04  6.468480e-03     0.674149     0.684508     0.695716   506.85800   5.60101  1.01106
theta[2]       0.047526  3.203310e-05  7.368000e-04     0.046279     0.047549     0.048729   529.05300   5.84628  1.00932
theta[3]       0.251615  3.481790e-04  7.842860e-03     0.238545     0.251914     0.264675   507.39300   5.60693  1.01066
theta[4]       0.000089  7.388450e-08  1.669360e-06     0.000086     0.000089     0.000091   510.49600   5.64121  1.01080
theta[5]       0.700770  3.801350e-04  8.554480e-03     0.686606     0.700421     0.715104   506.42200   5.59619  1.01061
g1             0.061110  1.000000e-05  3.200000e-04     0.060600     0.061120     0.061620  1244.64791  13.75393  1.00447
g2             0.548170  0.000000e+00  1.400000e-04     0.547930     0.548170     0.548400  1241.26212  13.71651  1.00456
zstar       1091.791760  1.103000e-02  2.897100e-01  1091.310000  1091.800000  1092.260000   690.11924   7.62613  1.00873
z0             0.000000           NaN  0.000000e+00     0.000000     0.000000     0.000000         NaN       NaN      NaN
v0[1]          0.000000           NaN  0.000000e+00     0.000000     0.000000     0.000000         NaN       NaN      NaN
sol_v[1,1]     3.183140  1.631100e-03  3.653370e-02     3.123940     3.180960     3.245540   501.68100   5.54380  1.01095
v              3.183140  1.630000e-03  3.653000e-02     3.123940     3.180960     3.245540   501.68074   5.54380  1.01095
g              0.033160  2.000000e-05  3.800000e-04     0.032530     0.033140     0.033820   501.04756   5.53680  1.01094
la           301.567490  2.150000e-03  9.365000e-02   301.414000   301.566000   301.720000  1904.62564  21.04698  1.00116
R              1.740510  2.200000e-04  4.960000e-03     1.732060     1.740800     1.748580   502.63243   5.55432  1.01088
wb             0.022280  0.000000e+00  1.500000e-04     0.022040     0.022280     0.022530  1242.36097  13.72866  1.00453
x[1]          -0.002519  2.146220e-03  9.364420e-02    -0.155990    -0.003895     0.149533  1903.76000  21.03740  1.00116
x[2]          -0.000185  2.212600e-04  4.960420e-03    -0.008639     0.000101     0.007878   502.61000   5.55407  1.01088
x[3]           0.000004  4.297680e-06  1.514810e-04    -0.000241     0.000001     0.000251  1242.36000  13.72860  1.00453
