# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = SS_model
# start_datetime = 2023-07-24 10:35:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 3500
#     num_warmup = 1500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmp_w4uihzl/36zmzd50.json
# init = /tmp/tmp_w4uihzl/tnokppxg.json
# random
#   seed = 30913
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/LCDM/SS/LISA/SS-20230724113517.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Om,theta.1,theta.2,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6,dL.7,dL.8,dL.9,dL.10,dL.11,dL.12,dL.13,dL.14,dL.15
# Adaptation terminated
# Step size = 0.44766
# Diagonal elements of inverse mass matrix:
# 0.000143152, 0.00997403
-9.51926,0.808824,0.44766,2,5,0,10.8193,0.710948,0.291747,0.710948,0.291747,0.987116,2.3983,11.2296,12.3505,12.4148,12.6357,15.8067,24.7201,24.7614,25.0955,25.5453,34.6704,44.0238,53.7737,59.1373
-9.5726,0.93009,0.44766,2,7,0,10.0795,0.706332,0.284451,0.706332,0.284451,0.994666,2.4195,11.3679,12.5054,12.5707,12.7949,16.0138,25.0659,25.1078,25.4472,25.9041,35.1744,44.6782,54.5859,60.0366
-9.64297,0.998369,0.44766,2,3,0,9.71751,0.707903,0.303628,0.707903,0.303628,0.98959,2.39976,11.1753,12.2866,12.3504,12.5693,15.7114,24.5376,24.5785,24.9092,25.3545,34.3854,43.64,53.2855,58.591
-9.33659,0.980423,0.44766,3,9,0,9.80439,0.709098,0.289117,0.709098,0.289117,0.990086,2.40654,11.282,12.4092,12.4738,12.696,15.8849,24.8502,24.8917,25.2278,25.6802,34.8595,44.269,54.0779,59.4739
-9.77164,0.956935,0.44766,2,7,0,10.3461,0.703306,0.314794,0.703306,0.314794,0.994393,2.40718,11.1546,12.26,12.3234,12.5412,15.6653,24.4359,24.4764,24.805,25.2473,34.217,43.4069,52.9836,58.2509
-12.2776,0.867169,0.44766,3,7,0,13.1859,0.688979,0.33403,0.688979,0.33403,1.01217,2.44297,11.2286,12.3351,12.3986,12.6165,15.7416,24.5067,24.5472,24.8754,25.3172,34.2746,43.4485,53.0066,58.2629
-12.884,0.897903,0.44766,3,7,0,13.3831,0.689126,0.322331,0.689126,0.322331,1.01371,2.45109,11.3213,12.4406,12.5048,12.7253,15.8882,24.764,24.805,25.1375,25.585,34.6596,43.9556,53.642,58.9694
-11.5214,0.844987,0.44766,2,3,0,13.9004,0.691508,0.349184,0.691508,0.349184,1.00621,2.42307,11.0693,12.1555,12.2178,12.4317,15.4982,24.0929,24.1326,24.4543,24.8874,33.6659,42.6544,52.0177,57.1665
