# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = SnIa_model
# start_datetime = 2023-07-24 10:28:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmpkinjnhmz/iqxe1fbv.json
# init = /tmp/tmpkinjnhmz/_tnyecvh.json
# random
#   seed = 33388
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/LCDM/SnIa/SnIa-20230724112805.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,Delta,dLhat,A,B,C
# Adaptation terminated
# Step size = 0.895752
# Diagonal elements of inverse mass matrix:
# 0.00446886
-26.7892,1,0.895752,1,1,0,27.0159,0.294744,23.6932,2.79607,3.26308e+07,1.37062e+06,57571.6
-26.7151,1,0.895752,2,3,0,26.8147,0.293498,23.6911,2.79883,3.26294e+07,1.37059e+06,57571.6
-26.5675,1,0.895752,1,1,0,26.6841,0.290288,23.6856,2.80598,3.26257e+07,1.37051e+06,57571.6
-27.6334,0.886959,0.895752,2,3,0,27.65,0.265477,23.6413,2.86374,3.25965e+07,1.3699e+06,57571.6
-26.6226,0.995691,0.895752,1,3,0,27.4364,0.277338,23.6628,2.83556,3.26105e+07,1.3702e+06,57571.6
-26.501,0.813077,0.895752,2,3,0,28.1035,0.288016,23.6816,2.81108,3.2623e+07,1.37046e+06,57571.6
-26.475,0.929015,0.895752,2,3,0,26.9992,0.282364,23.6717,2.82393,3.26164e+07,1.37032e+06,57571.6
-27.4738,0.856787,0.895752,2,3,0,27.7446,0.266797,23.6437,2.86055,3.2598e+07,1.36993e+06,57571.6
-26.5684,1,0.895752,2,3,0,27.2718,0.290314,23.6856,2.80592,3.26257e+07,1.37051e+06,57571.6
-26.7167,0.82382,0.895752,2,3,0,27.9289,0.275517,23.6595,2.83981,3.26084e+07,1.37015e+06,57571.6
-27.1382,0.907534,0.895752,1,1,0,27.1425,0.269975,23.6495,2.85292,3.26018e+07,1.37001e+06,57571.6
-26.866,0.924411,0.895752,2,3,0,27.9588,0.273226,23.6554,2.8452,3.26057e+07,1.37009e+06,57571.6
-26.4618,1,0.895752,2,3,0,26.8528,0.284032,23.6746,2.82012,3.26184e+07,1.37036e+06,57571.6
-26.4618,0.658915,0.895752,1,3,0,28.2866,0.284032,23.6746,2.82012,3.26184e+07,1.37036e+06,57571.6
-26.4684,0.918966,0.895752,2,3,0,27.0124,0.282947,23.6727,2.8226,3.26171e+07,1.37033e+06,57571.6
-27.1348,0.860177,0.895752,1,3,0,27.2713,0.270012,23.6496,2.85283,3.26019e+07,1.37001e+06,57571.6
-27.0441,1,0.895752,1,1,0,27.226,0.271007,23.6514,2.85046,3.2603e+07,1.37004e+06,57571.6
-27.7897,0.843689,0.895752,1,1,0,27.811,0.264273,23.6391,2.86666,3.2595e+07,1.36987e+06,57571.6
-26.8907,1,0.895752,1,1,0,27.5853,0.272892,23.6548,2.84599,3.26053e+07,1.37009e+06,57571.6
-26.5337,0.958684,0.895752,1,3,0,27.2172,0.289269,23.6838,2.80826,3.26245e+07,1.37049e+06,57571.6
-26.5699,0.962694,0.895752,2,7,0,26.7816,0.278609,23.665,2.8326,3.2612e+07,1.37023e+06,57571.6
-26.6934,0.747696,0.895752,2,3,0,28.7302,0.2931,23.6904,2.79971,3.26289e+07,1.37058e+06,57571.6
-26.6372,0.946068,0.895752,1,3,0,27.1692,0.277025,23.6622,2.83628,3.26101e+07,1.37019e+06,57571.6
-26.5118,0.976885,0.895752,1,3,0,26.8228,0.288474,23.6824,2.81005,3.26236e+07,1.37047e+06,57571.6
