                    Mean        MCSE        StdDev            5%           50%           95%       N_Eff   N_Eff/s    R_hat
lp__       -5.645800e+02    0.033940      1.288240 -5.671080e+02 -5.642430e+02 -5.632190e+02  1440.66000  0.663545  1.00001
h           6.971810e-01    0.000162      0.006593  6.862110e-01  6.970840e-01  7.081730e-01  1659.80000  0.764477  1.00124
Om          2.842270e-01    0.000302      0.012772  2.636220e-01  2.839720e-01  3.053020e-01  1794.49000  0.826513  1.00175
alpha      -3.206160e-01    0.006767      0.277838 -7.673450e-01 -3.284840e-01  1.520360e-01  1685.85000  0.776477  1.00138
theta[1]    6.971810e-01    0.000162      0.006593  6.862110e-01  6.970840e-01  7.081730e-01  1659.80000  0.764477  1.00124
theta[2]    2.842270e-01    0.000302      0.012772  2.636220e-01  2.839720e-01  3.053020e-01  1794.49000  0.826513  1.00175
theta[3]   -3.206160e-01    0.006767      0.277838 -7.673450e-01 -3.284840e-01  1.520360e-01  1685.85000  0.776477  1.00138
dL[1]       6.817260e-01    0.000131      0.005427  6.727410e-01  6.817260e-01  6.908140e-01  1707.92000  0.786643  1.00118
dL[2]       7.748340e-01    0.000145      0.006026  7.649060e-01  7.748550e-01  7.850180e-01  1717.42000  0.791018  1.00117
dL[3]       8.814750e-01    0.000161      0.006675  8.704710e-01  8.815300e-01  8.927230e-01  1729.37000  0.796523  1.00116
dL[4]       1.008280e+00    0.000177      0.007398  9.961870e-01  1.008360e+00  1.020650e+00  1745.26000  0.803840  1.00115
dL[5]       1.228190e+00    0.000202      0.008533  1.214210e+00  1.228200e+00  1.242300e+00  1777.62000  0.818745  1.00112
dL[6]       1.241760e+00    0.000204      0.008598  1.227700e+00  1.241780e+00  1.255960e+00  1779.86000  0.819777  1.00112
dL[7]       1.381460e+00    0.000218      0.009243  1.366380e+00  1.381440e+00  1.396670e+00  1804.55000  0.831148  1.00110
dL[8]       1.468660e+00    0.000225      0.009620  1.453030e+00  1.468600e+00  1.484500e+00  1821.49000  0.838951  1.00109
dL[9]       1.631110e+00    0.000238      0.010274  1.614500e+00  1.631080e+00  1.647910e+00  1857.22000  0.855408  1.00106
dL[10]      1.677790e+00    0.000242      0.010451  1.660950e+00  1.677780e+00  1.694980e+00  1868.52000  0.860611  1.00105
dL[11]      1.800650e+00    0.000250      0.010896  1.783070e+00  1.800630e+00  1.818650e+00  1900.52000  0.875350  1.00103
dL[12]      1.881150e+00    0.000255      0.011171  1.863170e+00  1.881130e+00  1.899550e+00  1923.61000  0.885985  1.00101
dL[13]      1.947050e+00    0.000258      0.011388  1.928700e+00  1.946980e+00  1.965840e+00  1943.80000  0.895287  1.00100
dL[14]      1.987460e+00    0.000260      0.011517  1.968840e+00  1.987360e+00  2.006430e+00  1956.83000  0.901288  1.00099
dL[15]      2.009510e+00    0.000261      0.011587  1.990790e+00  2.009390e+00  2.028570e+00  1964.05000  0.904612  1.00098
dL[16]      2.020530e+00    0.000262      0.011621  2.001800e+00  2.020410e+00  2.039660e+00  1967.77000  0.906323  1.00098
dL[17]      2.032550e+00    0.000263      0.011659  2.013750e+00  2.032460e+00  2.051730e+00  1971.90000  0.908229  1.00098
dL[18]      2.042420e+00    0.000263      0.011689  2.023530e+00  2.042310e+00  2.061640e+00  1975.22000  0.909755  1.00098
dL[19]      2.063520e+00    0.000264      0.011754  2.044480e+00  2.063430e+00  2.082830e+00  1982.57000  0.913143  1.00097
dL[20]      2.076770e+00    0.000265      0.011794  2.057700e+00  2.076680e+00  2.096130e+00  1987.24000  0.915291  1.00097
dL[21]      2.099580e+00    0.000266      0.011863  2.080380e+00  2.099500e+00  2.119090e+00  1995.38000  0.919043  1.00096
dL[22]      2.129490e+00    0.000267      0.011952  2.110140e+00  2.129400e+00  2.149090e+00  2006.38000  0.924107  1.00095
dL[23]      2.132440e+00    0.000267      0.011961  2.113080e+00  2.132340e+00  2.152050e+00  2007.48000  0.924613  1.00095
dL[24]      2.149260e+00    0.000268      0.012010  2.129830e+00  2.149140e+00  2.168970e+00  2013.75000  0.927505  1.00095
dL[25]      2.167570e+00    0.000268      0.012064  2.148070e+00  2.167500e+00  2.187420e+00  2020.85000  0.930775  1.00094
dL[26]      2.178910e+00    0.000269      0.012097  2.159350e+00  2.178810e+00  2.198790e+00  2025.16000  0.932760  1.00094
dL[27]      2.182840e+00    0.000269      0.012108  2.163260e+00  2.182740e+00  2.202720e+00  2026.73000  0.933482  1.00094
dL[28]      2.220550e+00    0.000270      0.012216  2.200780e+00  2.220450e+00  2.240650e+00  2041.68000  0.940368  1.00093
dL[29]      2.234020e+00    0.000271      0.012254  2.214180e+00  2.233930e+00  2.254230e+00  2047.17000  0.942898  1.00093
dL[30]      2.257990e+00    0.000272      0.012322  2.238050e+00  2.257880e+00  2.278280e+00  2057.06000  0.947451  1.00092
dL[31]      2.261660e+00    0.000272      0.012332  2.241700e+00  2.261540e+00  2.281960e+00  2058.63000  0.948172  1.00092
dL[32]      2.273690e+00    0.000272      0.012366  2.253650e+00  2.273550e+00  2.294010e+00  2063.64000  0.950480  1.00092
dL[33]      2.289230e+00    0.000273      0.012408  2.269080e+00  2.289100e+00  2.309610e+00  2070.23000  0.953515  1.00091
dL[34]      2.314770e+00    0.000274      0.012479  2.294520e+00  2.314650e+00  2.335240e+00  2081.28000  0.958604  1.00090
dL[35]      2.359430e+00    0.000275      0.012600  2.338960e+00  2.359280e+00  2.380050e+00  2101.42000  0.967881  1.00089
dL[36]      2.361280e+00    0.000275      0.012605  2.340810e+00  2.361130e+00  2.381910e+00  2102.18000  0.968231  1.00089
dL[37]      2.382030e+00    0.000275      0.012660  2.361470e+00  2.381860e+00  2.402700e+00  2111.78000  0.972656  1.00089
dL[38]      2.389580e+00    0.000276      0.012681  2.368980e+00  2.389440e+00  2.410280e+00  2115.31000  0.974279  1.00088
dL[39]      2.409710e+00    0.000276      0.012734  2.389080e+00  2.409570e+00  2.430460e+00  2124.79000  0.978648  1.00088
dL[40]      2.427480e+00    0.000277      0.012781  2.406740e+00  2.427290e+00  2.448330e+00  2133.36000  0.982596  1.00087
dL[41]      2.479050e+00    0.000278      0.012915  2.458070e+00  2.478820e+00  2.500170e+00  2158.96000  0.994386  1.00086
dL[42]      2.503100e+00    0.000278      0.012977  2.482050e+00  2.502850e+00  2.524280e+00  2171.27000  1.000050  1.00085
dL[43]      2.543620e+00    0.000279      0.013081  2.522460e+00  2.543420e+00  2.565020e+00  2192.73000  1.009940  1.00084
dL[44]      2.551970e+00    0.000280      0.013102  2.530760e+00  2.551790e+00  2.573430e+00  2197.24000  1.012020  1.00084
dL[45]      2.597600e+00    0.000280      0.013217  2.576160e+00  2.597480e+00  2.619230e+00  2222.39000  1.023600  1.00082
dL[46]      2.615890e+00    0.000281      0.013262  2.594380e+00  2.615780e+00  2.637600e+00  2232.70000  1.028350  1.00082
dL[47]      2.629620e+00    0.000281      0.013297  2.608040e+00  2.629520e+00  2.651430e+00  2240.61000  1.031990  1.00081
dL[48]      2.646580e+00    0.000281      0.013339  2.624940e+00  2.646490e+00  2.668520e+00  2250.54000  1.036560  1.00081
dL[49]      2.721850e+00    0.000282      0.013524  2.699940e+00  2.721760e+00  2.744030e+00  2296.16000  1.057580  1.00078
dL[50]      2.796200e+00    0.000283      0.013705  2.773960e+00  2.796050e+00  2.818790e+00  2344.12000  1.079670  1.00076
dL[51]      2.841410e+00    0.000283      0.013815  2.819020e+00  2.841240e+00  2.864130e+00  2374.76000  1.093780  1.00074
dL[52]      2.843850e+00    0.000284      0.013821  2.821450e+00  2.843680e+00  2.866590e+00  2376.48000  1.094570  1.00074
dL[53]      2.865560e+00    0.000284      0.013873  2.843080e+00  2.865430e+00  2.888320e+00  2391.69000  1.101580  1.00073
dL[54]      2.945630e+00    0.000284      0.014066  2.922800e+00  2.945550e+00  2.968690e+00  2449.88000  1.128380  1.00070
dL[55]      2.961820e+00    0.000284      0.014105  2.938940e+00  2.961740e+00  2.984950e+00  2462.19000  1.134050  1.00070
dL[56]      2.979640e+00    0.000284      0.014148  2.956720e+00  2.979570e+00  3.002840e+00  2475.85000  1.140340  1.00069
dL[57]      3.156410e+00    0.000285      0.014578  3.132600e+00  3.156260e+00  3.180290e+00  2622.27000  1.207780  1.00063
dL[58]      3.163600e+00    0.000285      0.014596  3.139750e+00  3.163470e+00  3.187510e+00  2628.59000  1.210690  1.00062
dL[59]      3.168980e+00    0.000285      0.014609  3.145110e+00  3.168840e+00  3.192910e+00  2633.40000  1.212900  1.00062
dL[60]      3.170830e+00    0.000285      0.014614  3.146940e+00  3.170680e+00  3.194760e+00  2635.06000  1.213670  1.00062
dL[61]      3.177730e+00    0.000285      0.014631  3.153820e+00  3.177570e+00  3.201700e+00  2641.26000  1.216530  1.00062
dL[62]      3.178470e+00    0.000285      0.014632  3.154560e+00  3.178310e+00  3.202440e+00  2641.85000  1.216790  1.00062
dL[63]      3.208200e+00    0.000285      0.014706  3.184180e+00  3.208020e+00  3.232310e+00  2668.89000  1.229250  1.00061
dL[64]      3.226020e+00    0.000285      0.014750  3.201850e+00  3.225850e+00  3.250150e+00  2685.35000  1.236830  1.00060
