# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = SSx43SnIa_model
# start_datetime = 2023-07-24 11:16:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmpsjosbz2s/9rbfn0mp.json
# init = /tmp/tmpsjosbz2s/qwqasnzb.json
# random
#   seed = 36427
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/fQ-LCDM/SS+SnIa/LISA/SS+SnIa-20230724121610.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Om,alpha,theta.1,theta.2,theta.3,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6,dL.7,dL.8,dL.9,dL.10,dL.11,dL.12,dL.13,dL.14,dL.15,correction,Delta,A,B,C
# Adaptation terminated
# Step size = 0.522079
# Diagonal elements of inverse mass matrix:
# 7.49891e-05, 0.000166893, 0.00579836
-31.3289,0.971323,0.522079,4,15,0,32.7055,0.705665,0.284545,-0.00672071,0.705665,0.284545,-0.00672071,0.995528,2.42138,11.3733,12.5111,12.5764,12.8007,16.0203,25.074,25.1159,25.4553,25.9123,35.184,44.689,54.598,60.0494,0.999381,23.6755,3.2619e+07,1.37037e+06,57571.6
-31.3289,0.509834,0.522079,2,7,0,35.3191,0.705665,0.284545,-0.00672071,0.705665,0.284545,-0.00672071,0.995528,2.42138,11.3733,12.5111,12.5764,12.8007,16.0203,25.074,25.1159,25.4553,25.9123,35.184,44.689,54.598,60.0494,0.999381,23.6755,3.2619e+07,1.37037e+06,57571.6
-31.341,0.911276,0.522079,2,7,0,32.0073,0.712405,0.285356,-0.053082,0.712405,0.285356,-0.053082,0.985555,2.39556,11.2279,12.3493,12.4136,12.6346,15.8071,24.7257,24.767,25.1013,25.5515,34.6827,44.0431,53.801,59.169,0.995093,23.677,3.26199e+07,1.37039e+06,57571.6
-31.0889,1,0.522079,3,7,0,31.3792,0.711742,0.288119,0.190238,0.711742,0.288119,0.190238,0.988269,2.40747,11.3713,12.5139,12.5795,12.8047,16.0401,25.146,25.1882,25.5297,25.9896,35.3202,44.8876,54.8623,60.3497,1.01732,23.6818,3.26231e+07,1.37046e+06,57571.6
-31.342,0.917672,0.522079,2,7,0,32.165,0.70772,0.280184,-0.25198,0.70772,0.280184,-0.25198,0.990931,2.4051,11.2129,12.3281,12.3921,12.6118,15.7649,24.6217,24.6627,24.9946,25.4415,34.5048,43.7944,53.478,58.8052,0.976415,23.6678,3.26139e+07,1.37027e+06,57571.6
-31.0733,0.959814,0.522079,3,7,0,32.2561,0.711653,0.286031,0.0372771,0.711653,0.286031,0.0372771,0.987334,2.40204,11.2932,12.4239,12.4887,12.7116,15.9113,24.9106,24.9523,25.2897,25.744,34.9608,44.4099,54.2606,59.6798,1.00343,23.6781,3.26207e+07,1.37041e+06,57571.6
