                    Mean        MCSE        StdDev            5%           50%           95%       N_Eff   N_Eff/s     R_hat
lp__       -3.249160e+01    0.030744      1.229390 -3.495020e+01 -3.216790e+01 -3.118030e+01  1598.99000  21.42740  1.001290
h           7.103770e-01    0.000191      0.007945  6.973320e-01  7.103200e-01  7.233710e-01  1732.66000  23.21850  1.001200
Om          2.848270e-01    0.000262      0.012519  2.641550e-01  2.850270e-01  3.049390e-01  2290.15000  30.68920  1.001130
alpha       5.594570e-02    0.009880      0.397798 -5.730420e-01  3.845170e-02  7.376920e-01  1621.18000  21.72460  1.001780
theta[1]    7.103770e-01    0.000191      0.007945  6.973320e-01  7.103200e-01  7.233710e-01  1732.66000  23.21850  1.001200
theta[2]    2.848270e-01    0.000262      0.012519  2.641550e-01  2.850270e-01  3.049390e-01  2290.15000  30.68920  1.001130
theta[3]    5.594570e-02    0.009880      0.397798 -5.730420e-01  3.845170e-02  7.376920e-01  1621.18000  21.72460  1.001780
dL[1]       9.893440e-01    0.000198      0.008714  9.751410e-01  9.893890e-01  1.003740e+00  1943.99000  26.05050  1.001250
dL[2]       2.407300e+00    0.000311      0.017059  2.379130e+00  2.407630e+00  2.435560e+00  3001.04000  40.21550  1.000640
dL[3]       1.132640e+01    0.002957      0.156977  1.105980e+01  1.133020e+01  1.158130e+01  2817.60000  37.75720  0.999647
dL[4]       1.246120e+01    0.003508      0.183024  1.215170e+01  1.246530e+01  1.275980e+01  2722.36000  36.48100  0.999696
dL[5]       1.252630e+01    0.003540      0.184549  1.221430e+01  1.253050e+01  1.282740e+01  2717.62000  36.41750  0.999699
dL[6]       1.275000e+01    0.003651      0.189804  1.242930e+01  1.275460e+01  1.306030e+01  2701.96000  36.20770  0.999707
dL[7]       1.596210e+01    0.005325      0.268498  1.550990e+01  1.596730e+01  1.640460e+01  2542.10000  34.06540  0.999809
dL[8]       2.499830e+01    0.010513      0.509007  2.414890e+01  2.500560e+01  2.583420e+01  2344.19000  31.41340  0.999956
dL[9]       2.504020e+01    0.010538      0.510159  2.418870e+01  2.504740e+01  2.587790e+01  2343.71000  31.40690  0.999957
dL[10]      2.537900e+01    0.010740      0.519499  2.451260e+01  2.538650e+01  2.623150e+01  2339.70000  31.35320  0.999960
dL[11]      2.583520e+01    0.011013      0.532099  2.494840e+01  2.584330e+01  2.670760e+01  2334.56000  31.28430  0.999964
dL[12]      3.509180e+01    0.016642      0.792069  3.377200e+01  3.509970e+01  3.639770e+01  2265.19000  30.35470  1.000030
dL[13]      4.458250e+01    0.022521      1.063440  4.281660e+01  4.459600e+01  4.634350e+01  2229.70000  29.87920  1.000060
dL[14]      5.447720e+01    0.028696      1.348560  5.225250e+01  5.449210e+01  5.671620e+01  2208.55000  29.59580  1.000080
dL[15]      5.992070e+01    0.032101      1.505880  5.744050e+01  5.993420e+01  6.242420e+01  2200.60000  29.48920  1.000080
correction  1.004220e+00    0.000910      0.036370  9.452300e-01  1.003520e+00  1.064950e+00  1608.11485  21.54957  1.001840
Delta       2.367571e+01    0.000460      0.021980  2.363890e+01  2.367640e+01  2.371050e+01  2285.99408  30.63350  1.001170
A           3.261921e+07  305.939020  14635.853300  3.259490e+07  3.261950e+07  3.264260e+07  2288.58129  30.66817  1.001140
B           1.370378e+06    6.428420    307.512960  1.369870e+06  1.370380e+06  1.370870e+06  2288.33032  30.66480  1.001140
C           5.757160e+04         NaN      0.000000  5.757160e+04  5.757160e+04  5.757160e+04         NaN       NaN       NaN
