# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = BAO_model
# start_datetime = 2023-07-24 11:00:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 1500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmpt8n0_g6b/crbmzz6f.json
# init = /tmp/tmpt8n0_g6b/r26x0pm_.json
# random
#   seed = 97092
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/fQ-Lfree/BAO/BAO-20230724120041.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Om,rf,c,lambda,theta.1,theta.2,theta.3,deriv_0,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,S.6.1,S.1.2,S.2.2,S.3.2,S.4.2,S.5.2,S.6.2,E,intofEinv,Dv,dv.1,dv.2,dv.3,dv.4,dv.5,dv.6
# Adaptation terminated
# Step size = 0.344748
# Diagonal elements of inverse mass matrix:
# 0.00111733, 0.00395018
-2.99426,0.863284,0.344748,2,5,0,4.08441,0.715001,0.321151,147.78,299792,0.391438,0.715001,0.321151,0.391438,0.355939,1.15483,1.23479,1.33432,1.35908,1.47357,2.36087,0.299468,0.400023,0.501362,0.52364,0.615538,1.04055,2.36087,1.04055,3717.75,1273.96,1680.31,2075,2159.58,2499.57,3870.89
-2.72172,0.995546,0.344748,4,15,0,3.34411,0.711491,0.304479,147.78,299792,0.397718,0.711491,0.304479,0.397718,0.334023,1.14572,1.22141,1.31605,1.33966,1.44911,2.30582,0.300598,0.402104,0.504702,0.527296,0.620638,1.05454,2.30582,1.05454,3799.26,1266.42,1673.6,2070.72,2156.01,2499.55,3892.93
-3.03099,0.842508,0.344748,3,15,0,3.57455,0.755054,0.349756,147.78,299792,0.380463,0.755054,0.349756,0.380463,0.394494,1.17061,1.2578,1.36551,1.39219,1.515,2.45255,0.297526,0.396482,0.495732,0.517491,0.607036,1.01794,2.45255,1.01794,3425.58,1256.12,1651.45,2032.95,2114.41,2440.89,3746.81
-2.12441,0.985453,0.344748,3,11,0,3.37743,0.740939,0.354753,147.78,299792,0.378519,0.740939,0.354753,0.378519,0.401352,1.17339,1.26182,1.37094,1.39794,1.52217,2.46823,0.297186,0.395867,0.494762,0.516433,0.605583,1.01416,2.46823,1.01416,3474.8,1270.46,1669.38,2053.94,2136,2464.76,3778.01
-2.38738,0.994521,0.344748,2,7,0,2.63838,0.754325,0.372555,147.78,299792,0.371528,0.754325,0.372555,0.371528,0.42609,1.18331,1.27616,1.3902,1.41835,1.54753,2.52332,0.295977,0.393688,0.49134,0.512705,0.60048,1.00107,2.52332,1.00107,3358.89,1268,1662.95,2042.28,2123.07,2446.19,3731.32
-2.17928,0.999827,0.344748,2,7,0,2.42599,0.746587,0.363824,147.78,299792,0.37497,0.746587,0.363824,0.37497,0.413899,1.17844,1.26913,1.38077,1.40836,1.53513,2.49645,0.29657,0.394755,0.493012,0.514526,0.602968,1.00742,2.49645,1.00742,3420.22,1270.26,1667.48,2049.66,2131.13,2457.24,3756.99
