                    Mean      MCSE        StdDev             5%            50%            95%       N_Eff    N_Eff/s     R_hat
lp__           -3.099840  0.018883  1.039100e+00      -5.129890      -2.779520      -2.125260  3028.06000   46.00240  0.999982
h               0.739766  0.000474  2.234040e-02       0.701715       0.740759       0.774910  2224.92000   33.80110  1.000830
Om              0.354595  0.001046  5.121770e-02       0.277973       0.351022       0.443197  2395.38000   36.39060  1.000730
rf            147.780000       NaN  2.273850e-12     147.780000     147.780000     147.780000         NaN        NaN       NaN
c          299792.000000       NaN  1.204960e-08  299792.000000  299792.000000  299792.000000         NaN        NaN       NaN
lambda          0.378146  0.000412  2.023400e-02       0.342676       0.379985       0.407530  2408.78000   36.59430  1.000710
theta[1]        0.739766  0.000474  2.234040e-02       0.701715       0.740759       0.774910  2224.92000   33.80110  1.000830
theta[2]        0.354595  0.001046  5.121770e-02       0.277973       0.351022       0.443197  2395.38000   36.39060  1.000730
theta[3]        0.378146  0.000412  2.023400e-02       0.342676       0.379985       0.407530  2408.78000   36.59430  1.000710
deriv_0         0.403080  0.001460  7.151000e-02       0.300010       0.396230       0.528930  2414.82367   36.68607  1.000710
S[1,1]          1.173540  0.000581  2.847040e-02       1.131400       1.171320       1.223130  2405.26000   36.54080  1.000720
S[1,2]          0.297198  0.000071  3.467430e-03       0.291191       0.297442       0.302389  2398.07000   36.43160  1.000730
S[2,1]          1.261710  0.000839  4.109520e-02       1.200240       1.258820       1.332900  2398.95000   36.44490  1.000730
S[2,2]          0.395956  0.000128  6.243630e-03       0.385221       0.396330       0.405430  2388.47000   36.28570  1.000740
S[3,1]          1.370350  0.001129  5.522020e-02       1.286910       1.366890       1.465450  2391.79000   36.33610  1.000730
S[3,2]          0.495006  0.000201  9.813530e-03       0.478273       0.495493       0.510096  2375.48000   36.08840  1.000750
S[4,1]          1.397220  0.001197  5.850760e-02       1.308630       1.393650       1.497860  2389.97000   36.30840  1.000740
S[4,2]          0.516724  0.000220  1.069470e-02       0.498522       0.517230       0.533214  2372.49000   36.04300  1.000750
S[5,1]          1.520820  0.001491  7.276960e-02       1.409790       1.516820       1.645390  2382.34000   36.19260  1.000740
S[5,2]          0.606114  0.000302  1.466270e-02       0.581345       0.606677       0.628966  2360.26000   35.85720  1.000760
S[6,1]          2.462770  0.003272  1.589080e-01       2.215650       2.456530       2.731190  2358.62000   35.83220  1.000770
S[6,2]          1.016720  0.000794  3.808120e-02       0.954176       1.017010       1.078150  2300.34000   34.94690  1.000810
E               2.462770  0.003270  1.589100e-01       2.215650       2.456530       2.731190  2358.61845   35.83220  1.000770
intofEinv       1.016720  0.000790  3.808000e-02       0.954180       1.017010       1.078150  2300.34362   34.94688  1.000810
Dv           3500.808360  5.741460  2.619359e+02    3099.150000    3488.070000    3949.480000  2081.34750   31.61989  1.000970
dv[1]        1268.390000  0.192565  1.290730e+01    1247.320000    1268.300000    1289.840000  4492.75000   68.25400  1.000230
dv[2]        1667.020000  0.128209  1.203380e+01    1647.460000    1666.990000    1686.870000  8809.85000  133.84000  0.999958
dv[3]        2051.740000  0.237974  1.584120e+01    2025.720000    2051.780000    2077.620000  4431.12000   67.31770  1.000260
dv[4]        2133.900000  0.287011  1.763080e+01    2104.830000    2133.940000    2162.860000  3773.51000   57.32730  1.000370
dv[5]        2463.300000  0.536235  2.760860e+01    2417.600000    2463.300000    2508.320000  2650.81000   40.27110  1.000650
dv[6]        3782.610000  1.977520  9.191850e+01    3635.120000    3780.810000    3934.710000  2160.55000   32.82310  1.000890
