# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = CC_model
# start_datetime = 2023-07-24 11:02:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 1500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmpk70t8efj/6y26nmip.json
# init = /tmp/tmpk70t8efj/bsoyusr0.json
# random
#   seed = 66295
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/fQ-Lfree/CC/CC-20230724120204.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Om,lambda,theta.1,theta.2,theta.3,E,guess.1,H.1,H.2,H.3,H.4,H.5,H.6,H.7,H.8,H.9,H.10,H.11,H.12,H.13,H.14,H.15,H.16,H.17,H.18,H.19,H.20,H.21,H.22,H.23,H.24,H.25,H.26,H.27,H.28,H.29,H.30,H.31,H.32
# Adaptation terminated
# Step size = 0.376193
# Diagonal elements of inverse mass matrix:
# 0.00179757, 0.0246724
-9.69346,1,0.376193,2,3,0,11.6664,0.71374,0.338577,0.384782,0.71374,0.338577,0.384782,3.03887,3.08006,73.4099,74.0445,75.0415,76.8255,77.163,77.9311,77.9702,80.8592,81.2969,84.6306,86.0126,87.0286,87.0492,88.3321,89.4012,90.77,91.2324,91.3275,98.009,103.603,108.366,110.545,117.399,117.774,119.282,130.01,152.336,157.985,164.11,173.467,194.902,216.897
-10.0047,0.970346,0.376193,3,7,0,10.7343,0.704589,0.274235,0.408902,0.704589,0.274235,0.408902,2.7552,2.80606,72.0255,72.5148,73.2846,74.6657,74.9275,75.5242,75.5546,77.809,78.1519,80.7769,81.8719,82.6795,82.6959,83.7186,84.5735,85.6716,86.0433,86.1199,91.5392,96.1374,100.09,101.909,107.669,107.985,109.26,118.387,137.626,142.531,147.861,156.023,174.795,194.129
-9.4497,0.844776,0.376193,2,7,0,11.6272,0.72974,0.292115,0.402322,0.72974,0.292115,0.402322,2.83683,2.88481,74.721,75.2664,76.1242,77.6623,77.9538,78.6177,78.6515,81.1573,81.5381,84.4491,85.6614,86.5547,86.5728,87.7032,88.6474,89.859,90.2689,90.3533,96.3142,101.352,105.671,107.655,113.923,114.267,115.652,125.547,146.319,151.601,157.337,166.115,186.276,207.015
-9.68162,0.948799,0.376193,1,1,0,9.70749,0.732185,0.295735,0.400978,0.732185,0.295735,0.400978,2.85308,2.9005,74.997,75.5521,76.4252,77.9905,78.2871,78.9627,78.9971,81.5461,81.9334,84.8931,86.1254,87.0332,87.0515,88.2001,89.1593,90.3899,90.8062,90.8919,96.9426,102.053,106.43,108.441,114.791,115.139,116.541,126.557,147.566,152.907,158.705,167.577,187.948,208.898
-9.04828,1,0.376193,3,7,0,9.65122,0.692731,0.359419,0.376697,0.692731,0.359419,0.376697,3.12531,3.16373,71.3963,72.0575,73.0957,74.9513,75.3021,76.0999,76.1404,79.1361,79.5893,83.0348,84.4601,85.5068,85.528,86.8483,87.9475,89.3536,89.8282,89.9258,96.7657,102.47,107.314,109.526,116.475,116.854,118.38,129.22,151.708,157.388,163.544,172.941,194.449,216.5
-8.74077,1,0.376193,2,7,0,9.16411,0.693507,0.323735,0.390456,0.693507,0.323735,0.390456,2.9758,3.01906,71.2257,71.8105,72.7296,74.3754,74.6869,75.3962,75.4322,78.103,78.508,81.5967,82.8791,83.8225,83.8416,85.0337,86.0279,87.3017,87.7322,87.8208,94.0538,99.2877,103.753,105.798,112.241,112.593,114.012,124.12,145.209,150.553,156.35,165.209,185.519,206.374
