                Mean      MCSE    StdDev          5%         50%         95%       N_Eff   N_Eff/s     R_hat
lp__       -9.690940  0.020331  1.012350  -11.685700   -9.384770   -8.729550  2479.40000  156.4980  1.001880
h           0.692315  0.000642  0.031576    0.639457    0.692567    0.742944  2420.67000  152.7910  1.001720
Om          0.338252  0.001238  0.058593    0.251661    0.333693    0.442451  2240.82000  141.4390  1.001830
lambda      0.384350  0.000492  0.022981    0.342989    0.386665    0.417077  2181.96000  137.7240  1.001920
theta[1]    0.692315  0.000642  0.031576    0.639457    0.692567    0.742944  2420.67000  152.7910  1.001720
theta[2]    0.338252  0.001238  0.058593    0.251661    0.333693    0.442451  2240.82000  141.4390  1.001830
theta[3]    0.384350  0.000492  0.022981    0.342989    0.386665    0.417077  2181.96000  137.7240  1.001920
E           3.027850  0.005060  0.243330    2.648640    3.018260    3.448340  2313.57392  146.0313  1.001700
guess[1]    3.069720  0.004899  0.235508    2.703350    3.060120    3.477140  2311.02000  145.8700  1.001710
H[1]       71.199200  0.057781  2.901640   66.387700   71.194300   75.894900  2521.81000  159.1750  1.001640
H[2]       71.812000  0.055849  2.826590   67.120900   71.809100   76.417200  2561.49000  161.6800  1.001600
H[3]       72.774100  0.052877  2.713670   68.298000   72.764600   77.214900  2633.74000  166.2400  1.001540
H[4]       74.494100  0.047847  2.528060   70.337800   74.486200   78.627800  2791.64000  176.2070  1.001420
H[5]       74.819300  0.046916  2.495470   70.728400   74.803300   78.890900  2829.18000  178.5760  1.001390
H[6]       75.559000  0.044837  2.424480   71.578900   75.538400   79.542500  2923.98000  184.5600  1.001330
H[7]       75.596600  0.044732  2.420990   71.619100   75.575200   79.575700  2929.17000  184.8880  1.001330
H[8]       78.375800  0.037441  2.196770   74.813700   78.359500   81.997400  3442.55000  217.2920  1.001030
H[9]       78.796500  0.036414  2.168910   75.277800   78.774300   82.352900  3547.79000  223.9340  1.000980
H[10]      81.997900  0.029392  2.012650   78.738500   81.982900   85.319600  4689.14000  295.9760  1.000560
H[11]      83.323900  0.026951  1.977280   80.119000   83.314900   86.585700  5382.29000  339.7270  1.000390
H[12]      84.298400  0.025364  1.962080   81.094300   84.295200   87.522000  5984.26000  377.7220  1.000270
H[13]      84.318100  0.025333  1.961870   81.115700   84.315200   87.540600  5997.20000  378.5400  1.000270
H[14]      85.548100  0.023613  1.955530   82.369600   85.547000   88.767100  6858.27000  432.8890  1.000130
H[15]      86.572800  0.022443  1.960470   83.368400   86.575200   89.812900  7630.76000  481.6490  1.000030
H[16]      87.884500  0.021326  1.979410   84.644500   87.883400   91.138100  8615.26000  543.7900  0.999920
H[17]      88.327500  0.021067  1.988800   85.073700   88.325000   91.597200  8911.54000  562.4910  0.999889
H[18]      88.418700  0.021022  1.990900   85.160700   88.410500   91.690100  8969.41000  566.1430  0.999883
H[19]      94.817600  0.022822  2.259470   91.121900   94.827600   98.543100  9801.84000  618.6860  0.999728
H[20]     100.174000  0.029034  2.597820   95.942300  100.148000  104.522000  8005.97000  505.3320  0.999819
H[21]     104.734000  0.035593  2.920220   99.979600  104.695000  109.593000  6731.47000  424.8860  0.999931
H[22]     106.821000  0.038705  3.072360  101.835000  106.780000  111.944000  6300.89000  397.7080  0.999981
H[23]     113.388000  0.048471  3.555920  107.532000  113.351000  119.322000  5381.95000  339.7050  1.000120
H[24]     113.747000  0.048998  3.582320  107.850000  113.713000  119.734000  5345.34000  337.3950  1.000130
H[25]     115.192000  0.051107  3.688410  109.118000  115.152000  121.349000  5208.50000  328.7570  1.000150
H[26]     125.476000  0.065578  4.429360  118.159000  125.462000  132.838000  4562.13000  287.9590  1.000290
H[27]     146.902000  0.092839  5.876680  137.209000  146.913000  156.603000  4006.84000  252.9090  1.000460
H[28]     152.327000  0.099252  6.224680  142.052000  152.335000  162.603000  3933.29000  248.2670  1.000480
H[29]     158.211000  0.106035  6.595190  147.315000  158.213000  169.075000  3868.63000  244.1850  1.000510
H[30]     167.201000  0.116105  7.149300  155.366000  167.215000  178.971000  3791.61000  239.3240  1.000540
H[31]     187.805000  0.138150  8.375850  173.933000  187.852000  201.631000  3675.83000  232.0160  1.000580
H[32]     208.954000  0.159725  9.589690  193.109000  209.012000  224.751000  3604.65000  227.5230  1.000610
