# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = CMB_model
# start_datetime = 2023-07-24 13:42:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmpnyslm103/hi0c7hrz.json
# init = /tmp/tmpnyslm103/eun7fobf.json
# random
#   seed = 94167
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/fQ-Lfree/CMB/CMB-20230724144208.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Ob,Oc,wr,Or,lambda,g1,g2,zstar,faketheta.1,faketheta.2,faketheta.3,faketheta.4,faketheta.5,faketheta.6,E,dE,I,dI,S.1.1,S.1.2,sol,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 0.0370085
# Diagonal elements of inverse mass matrix:
# 0.000122705, 1.04453e-05, 6.65254e-05
-4.09543,0.694258,0.0370085,5,39,0,4.95557,0.741306,0.0404121,0.211939,4.15e-05,7.55185e-05,0.416807,0.0612697,0.548239,1091.77,0.741306,0.0404121,0.211939,7.55185e-05,0.416807,1091.77,1,0.268205,0,1,20904.1,3.45378,0.0360054,301.355,1.73499,0.0222078,-0.215391,-0.00570825,-7.21924e-05
-1.79684,1,0.0370085,2,3,0,3.67513,0.741277,0.040506,0.211586,4.15e-05,7.55243e-05,0.4169,0.0611652,0.548193,1091.68,0.741277,0.040506,0.211586,7.55243e-05,0.4169,1091.68,1,0.267887,0,1,20893.6,3.4552,0.0360078,301.458,1.73481,0.0222578,-0.112125,-0.00588557,-2.22408e-05
-1.77633,0.996752,0.0370085,4,23,0,2.391,0.743654,0.0404075,0.208959,4.15e-05,7.50423e-05,0.417878,0.060981,0.548109,1091.5,0.743654,0.0404075,0.208959,7.50423e-05,0.417878,1091.5,1,0.264546,0,1,20786.2,3.47041,0.0361529,301.57,1.73301,0.0223462,-0.00010811,-0.00769156,6.62142e-05
-1.9096,0.899493,0.0370085,2,7,0,2.5615,0.743989,0.0403312,0.209198,4.15e-05,7.49748e-05,0.41782,0.061027,0.54813,1091.55,0.743989,0.0403312,0.209198,7.49748e-05,0.41782,1091.55,1,0.264744,0,1,20790.5,3.46953,0.0361578,301.452,1.73313,0.0223241,-0.118225,-0.0075722,4.40998e-05
-1.62468,1,0.0370085,3,7,0,1.90226,0.744048,0.0403699,0.2091,4.15e-05,7.49628e-05,0.417841,0.0609751,0.548107,1091.51,0.744048,0.0403699,0.2091,7.49628e-05,0.417841,1091.51,1,0.264672,0,1,20787.2,3.46986,0.0361583,301.476,1.73309,0.0223491,-0.0935573,-0.00761193,6.90647e-05
-2.49405,0.893108,0.0370085,2,3,0,2.63677,0.743865,0.0405812,0.208855,4.15e-05,7.49997e-05,0.417854,0.0607561,0.548006,1091.35,0.743865,0.0405812,0.208855,7.49997e-05,0.417854,1091.35,1,0.264631,0,1,20782.4,3.47003,0.0361419,301.628,1.73306,0.022455,0.0581347,-0.0076431,0.000175033
