                      Mean          MCSE        StdDev            5%           50%           95%       N_Eff   N_Eff/s    R_hat
lp__             -1.811690  4.616110e-02  1.232820e+00     -4.187000     -1.503070     -0.475287   713.25300  0.696053  1.00215
h                 0.732287  3.927200e-04  7.888290e-03      0.719702      0.732463      0.745473   403.46000  0.393730  1.00850
Ob                0.041547  3.538970e-05  7.358510e-04      0.040345      0.041523      0.042760   432.34100  0.421915  1.00879
Oc                0.220325  3.826180e-04  7.612020e-03      0.207841      0.220008      0.232825   395.79400  0.386249  1.00886
wr                0.000041           NaN  5.353920e-19      0.000041      0.000041      0.000041         NaN       NaN      NaN
Or                0.000077  8.380010e-08  1.671800e-06      0.000075      0.000077      0.000080   397.99900  0.388401  1.00872
lambda            0.413362  1.518290e-04  3.018240e-03      0.408370      0.413500      0.418273   395.18500  0.385655  1.00895
g1                0.061134  1.184230e-05  3.277380e-04      0.060589      0.061132      0.061668   765.91200  0.747442  1.00258
g2                0.548177  5.323530e-06  1.476730e-04      0.547929      0.548178      0.548416   769.48600  0.750930  1.00256
zstar          1091.820000  1.401140e-02  3.060300e-01   1091.330000   1091.810000   1092.330000   477.04700  0.465543  1.00567
faketheta[1]      0.732287  3.927200e-04  7.888290e-03      0.719702      0.732463      0.745473   403.46000  0.393730  1.00850
faketheta[2]      0.041547  3.538970e-05  7.358510e-04      0.040345      0.041523      0.042760   432.34100  0.421915  1.00879
faketheta[3]      0.220325  3.826180e-04  7.612020e-03      0.207841      0.220008      0.232825   395.79400  0.386249  1.00886
faketheta[4]      0.000077  8.380010e-08  1.671800e-06      0.000075      0.000077      0.000080   397.99900  0.388401  1.00872
faketheta[5]      0.413362  1.518290e-04  3.018240e-03      0.408370      0.413500      0.418273   395.18500  0.385655  1.00895
faketheta[6]   1091.820000  1.401140e-02  3.060300e-01   1091.330000   1091.810000   1092.330000   477.04700  0.465543  1.00567
E                 1.000000           NaN  0.000000e+00      1.000000      1.000000      1.000000         NaN       NaN      NaN
dE                0.280010  5.200000e-04  1.035000e-02      0.263180      0.279530      0.297130   394.73454  0.385220  1.00897
I                 0.000000           NaN  0.000000e+00      0.000000      0.000000      0.000000         NaN       NaN      NaN
dI                1.000000           NaN  0.000000e+00      1.000000      1.000000      1.000000         NaN       NaN      NaN
S[1,1]        21262.500000  1.600340e+01  3.193590e+02  20732.700000  21251.800000  21785.800000   398.22700  0.388623  1.00875
S[1,2]            3.403240  2.178380e-03  4.379540e-02      3.332350      3.404160      3.476700   404.19400  0.394447  1.00859
sol               0.035450  2.000000e-05  4.600000e-04      0.034710      0.035460      0.036220   403.11405  0.393390  1.00862
la              301.572790  2.450000e-03  9.316000e-02    301.421000    301.573000    301.727000  1444.60982  1.409770  1.00233
R                 1.740980  2.600000e-04  5.200000e-03      1.732260      1.740840      1.749420   403.65181  0.393920  1.00863
wb                0.022270  1.000000e-05  1.600000e-04      0.022020      0.022270      0.022540   768.26701  0.749740  1.00257
x[1]              0.002787  2.450670e-03  9.315730e-02     -0.149117      0.003014      0.157449  1444.99000  1.410140  1.00233
x[2]              0.000281  2.588870e-04  5.201120e-03     -0.008437      0.000143      0.008722   403.62000  0.393887  1.00863
x[3]             -0.000006  5.665640e-06  1.570390e-04     -0.000261     -0.000006      0.000256   768.27400  0.749747  1.00257
