# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = SS_model
# start_datetime = 2023-07-24 11:09:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 1500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmpktel93p0/ieqht_a3.json
# init = /tmp/tmpktel93p0/jbv7kn3x.json
# random
#   seed = 28102
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/fQ-Lfree/SS/LISA/SS-20230724120926.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Om,k,lambda,deriv_0,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,S.6.1,S.7.1,S.8.1,S.9.1,S.10.1,S.11.1,S.12.1,S.13.1,S.14.1,S.15.1,S.1.2,S.2.2,S.3.2,S.4.2,S.5.2,S.6.2,S.7.2,S.8.2,S.9.2,S.10.2,S.11.2,S.12.2,S.13.2,S.14.2,S.15.2,E,intofEinv,correction,dGW.1,dGW.2,dGW.3,dGW.4,dGW.5,dGW.6,dGW.7,dGW.8,dGW.9,dGW.10,dGW.11,dGW.12,dGW.13,dGW.14,dGW.15
# Adaptation terminated
# Step size = 0.405963
# Diagonal elements of inverse mass matrix:
# 0.000122378, 0.000786582
-8.67915,0.853347,0.405963,3,7,0,9.72038,0.71761,0.238194,2.9979,0.421896,0.250844,1.06296,1.16861,2.10267,2.2396,2.24753,2.27484,2.6767,3.88687,3.89271,3.94009,4.0041,5.35184,6.82267,8.44255,9.36871,0.198105,0.410173,1.13019,1.18726,1.1904,1.20108,1.3388,1.61971,1.62076,1.62919,1.64035,1.83039,1.97498,2.09218,2.14641,9.36871,2.14641,0.938899,0.980492,2.38743,11.3183,12.461,12.5266,12.7518,15.988,25.0927,25.1349,25.4762,25.9358,35.2593,44.8167,54.7798,60.2608
-10.6654,0.532228,0.405963,1,3,0,12.9166,0.709786,0.21647,2.9979,0.429561,0.224928,1.05649,1.15167,2.01946,2.1487,2.1562,2.18201,2.56245,3.71216,3.71772,3.76279,3.82369,5.10668,6.50775,8.05126,8.93388,0.198679,0.412926,1.15423,1.21368,1.21696,1.22809,1.37182,1.66565,1.66675,1.67557,1.68726,1.88635,2.03791,2.1608,2.21767,8.93388,2.21767,0.936237,0.994828,2.43144,11.6597,12.8478,12.916,13.1503,16.5195,26.0161,26.0601,26.4165,26.8963,36.6342,46.6221,57.0379,62.7691
-10.7259,0.987639,0.405963,2,7,0,11.2406,0.714698,0.273978,2.9979,0.408996,0.29497,1.07392,1.19685,2.2335,2.3822,2.39081,2.42043,2.8552,4.15875,4.16503,4.21598,4.2848,5.73286,7.31188,9.05024,10.044,0.197141,0.405654,1.09405,1.14774,1.15069,1.16073,1.28999,1.5529,1.55388,1.56175,1.57218,1.74967,1.88462,1.99397,2.04456,10.044,2.04456,0.943212,0.978927,2.36987,11.0443,12.1447,12.2078,12.4246,15.5351,24.2653,24.3057,24.6326,25.0728,33.9968,43.1375,52.6617,57.8997
-8.05508,0.889048,0.405963,2,3,0,12.2392,0.706445,0.258802,2.9979,0.414509,0.276036,1.06923,1.18483,2.17891,2.32274,2.33106,2.35973,2.78087,4.04567,4.05177,4.10124,4.16806,5.57445,7.10852,8.79765,9.7633,0.197553,0.407568,1.10889,1.16394,1.16697,1.17727,1.30992,1.58003,1.58104,1.58913,1.59986,1.78236,1.92115,2.03364,2.08568,9.7633,2.08568,0.941394,0.992719,2.40903,11.3058,12.4383,12.5033,12.7265,15.9301,24.9301,24.9717,25.3089,25.7629,34.9691,44.4018,54.2321,59.6391
-8.0903,0.993604,0.405963,3,11,0,8.32073,0.711565,0.24409,2.9979,0.419794,0.257991,1.06474,1.17323,2.12474,2.26368,2.27173,2.29943,2.7069,3.93295,3.93887,3.98686,4.05168,5.41646,6.90566,8.54565,9.48328,0.197948,0.409427,1.12395,1.18042,1.18353,1.1941,1.33031,1.608,1.60904,1.61736,1.62839,1.81618,1.95904,2.07483,2.12841,9.48328,2.12841,0.939616,0.987884,2.40306,11.3587,12.5028,12.5684,12.794,16.033,25.1418,25.184,25.5254,25.9851,35.3098,44.8669,54.8289,60.309
-8.69571,0.919594,0.405963,2,3,0,8.85534,0.707519,0.238445,2.9979,0.421807,0.251147,1.06304,1.1688,2.10361,2.24062,2.24856,2.27589,2.67799,3.88884,3.89468,3.94209,4.00613,5.3546,6.82621,8.44695,9.3736,0.198098,0.410142,1.12992,1.18696,1.1901,1.20078,1.33843,1.61921,1.62026,1.62868,1.63983,1.82978,1.97429,2.09144,2.14564,9.3736,2.14564,0.93893,0.994437,2.42128,11.4773,12.6359,12.7024,12.9309,16.2121,25.4435,25.4863,25.8324,26.2984,35.7514,45.4416,55.543,61.1002
-8.35792,1,0.405963,1,1,0,8.64237,0.707944,0.242529,2.9979,0.420352,0.256094,1.06427,1.17201,2.11892,2.25732,2.26534,2.29294,2.69894,3.9208,3.9267,3.97453,4.03914,5.39942,6.88378,8.51847,9.45307,0.19799,0.409625,1.12559,1.18222,1.18533,1.19593,1.33254,1.61107,1.61211,1.62046,1.63153,1.81991,1.96322,2.07938,2.13313,9.45307,2.13313,0.939427,0.993186,2.41658,11.4315,12.5836,12.6498,12.8769,16.1389,25.3137,25.3562,25.7001,26.1631,35.556,45.1834,55.2189,60.7396
-8.14251,0.860756,0.405963,2,3,0,9.66317,0.711884,0.250027,2.9979,0.417669,0.265236,1.06655,1.1779,2.14675,2.28768,2.29584,2.32394,2.73698,3.97882,3.98481,4.0334,4.09904,5.48076,6.98823,8.64822,9.59726,0.197789,0.408676,1.11779,1.17367,1.17675,1.18721,1.32195,1.5965,1.59753,1.60576,1.61666,1.80226,1.94344,2.05786,2.1108,9.59726,2.1108,0.940336,0.986505,2.39736,11.2986,12.4341,12.4993,12.7231,15.9366,24.9698,25.0116,25.3501,25.8059,35.0502,44.5237,54.3976,59.8291
-8.4691,0.972885,0.405963,3,11,0,9.02704,0.701395,0.265955,2.9979,0.411919,0.28492,1.07143,1.19049,2.2048,2.35094,2.3594,2.38852,2.81614,4.09935,4.10554,4.15571,4.22349,5.64967,7.20509,8.9176,9.89659,0.197359,0.406665,1.10181,1.15621,1.1592,1.16937,1.30039,1.56703,1.56803,1.57602,1.5866,1.76669,1.90363,2.0146,2.06594,9.89659,2.06594,0.942253,0.998741,2.42088,11.3235,12.4548,12.5197,12.7427,15.9419,24.9255,24.9671,25.3036,25.7566,34.943,44.3539,54.1606,59.5543
-8.24001,0.971464,0.405963,1,3,0,8.7986,0.704575,0.271936,2.9979,0.409742,0.292403,1.07328,1.19523,2.22623,2.37428,2.38285,2.41235,2.84531,4.14371,4.14997,4.20072,4.26928,5.7118,7.28484,9.01667,10.0067,0.197197,0.405912,1.09601,1.14987,1.15284,1.16291,1.29261,1.55645,1.55744,1.56534,1.57581,1.75395,1.8894,1.99915,2.04993,10.0067,2.04993,0.942968,0.993307,2.40545,11.2205,12.3392,12.4034,12.6238,15.7864,24.664,24.705,25.0375,25.4851,34.5606,43.8569,53.5433,58.8707
-8.5602,0.956831,0.405963,3,11,0,8.81995,0.714109,0.25244,2.9979,0.416802,0.268195,1.06728,1.17981,2.15564,2.29737,2.30558,2.33383,2.74912,3.99731,4.00333,4.05217,4.11813,5.50668,7.02151,8.68957,9.6432,0.197724,0.408371,1.11532,1.17097,1.17403,1.18444,1.3186,1.59191,1.59293,1.60113,1.61198,1.79671,1.93722,2.0511,2.10379,9.6432,2.10379,0.940627,0.983053,2.38803,11.2415,12.3702,12.4349,12.6574,15.8513,24.828,24.8695,25.2059,25.6588,34.8441,44.2566,54.0667,59.4629
-8.78357,0.958897,0.405963,3,7,0,9.39981,0.7154,0.222803,2.9979,0.427339,0.232416,1.05836,1.15659,2.04404,2.17556,2.18319,2.20945,2.59626,3.76393,3.76957,3.81533,3.87715,5.17935,6.60111,8.16727,9.0628,0.198513,0.412123,1.14704,1.20577,1.209,1.22,1.36189,1.65178,1.65286,1.66156,1.67309,1.86941,2.01884,2.13998,2.19604,9.0628,2.19604,0.937016,0.985989,2.40715,11.5037,12.6726,12.7397,12.9702,16.2837,25.6179,25.6611,26.0113,26.4828,36.0501,45.8613,56.0917,61.7205
-8.24741,1,0.405963,3,7,0,8.92273,0.711509,0.255328,2.9979,0.415762,0.271747,1.06816,1.18208,2.16623,2.30892,2.31718,2.34562,2.76358,4.01934,4.02539,4.07452,4.14087,5.53755,7.06114,8.7388,9.69791,0.197646,0.408006,1.11238,1.16776,1.17081,1.18117,1.31463,1.58648,1.58749,1.59564,1.60644,1.79015,1.92987,2.04311,2.0955,9.69791,2.0955,0.940976,0.986194,2.39453,11.2564,12.3854,12.4502,12.6727,15.8669,24.8428,24.8843,25.2206,25.6734,34.8565,44.2661,54.0728,59.467
-8.68773,0.978879,0.405963,3,7,0,8.95194,0.711918,0.2288,2.9979,0.425226,0.239557,1.06014,1.16126,2.06706,2.20072,2.20847,2.23514,2.62788,3.81229,3.81801,3.86441,3.92709,5.24722,6.6883,8.27561,9.18319,0.198355,0.411363,1.14037,1.19844,1.20163,1.21251,1.35273,1.63902,1.64009,1.64868,1.66006,1.85386,2.00134,2.12091,2.17623,9.18319,2.17623,0.937752,0.98984,2.41404,11.5,12.6656,12.7325,12.9623,16.265,25.564,25.6071,25.9559,26.4254,35.9532,45.7222,55.9075,61.5112
-9.41927,0.926736,0.405963,2,5,0,10.7467,0.720426,0.211794,2.9979,0.431195,0.219434,1.05511,1.14805,2.00115,2.12867,2.13607,2.16154,2.53721,3.67347,3.67897,3.72353,3.78373,5.05236,6.43795,7.96453,8.83749,0.198802,0.413519,1.15964,1.21964,1.22295,1.23419,1.37931,1.67616,1.67727,1.68619,1.698,1.89921,2.05241,2.17664,2.23413,8.83749,2.23413,0.935659,0.980896,2.39939,11.5358,12.7137,12.7814,13.0137,16.3552,25.7781,25.8217,26.1754,26.6516,36.3169,46.2319,56.5724,62.2625
-9.56529,0.998445,0.405963,2,3,0,9.84654,0.723489,0.221118,2.9979,0.427931,0.230418,1.05786,1.15528,2.03753,2.16845,2.17604,2.20218,2.58731,3.75022,3.75584,3.80142,3.86299,5.16011,6.5764,8.13656,9.02868,0.198557,0.412337,1.14894,1.20786,1.2111,1.22214,1.36451,1.65543,1.65651,1.66525,1.67682,1.87386,2.02385,2.14545,2.20173,9.02868,2.20173,0.936809,0.975237,2.3816,11.3919,12.5503,12.6168,12.8453,16.1293,25.382,25.4248,25.772,26.2394,35.7242,45.4512,55.5941,61.1749
-9.80925,0.875203,0.405963,1,3,0,10.7958,0.722093,0.236557,2.9979,0.422478,0.248868,1.06247,1.16732,2.09651,2.23287,2.24077,2.26797,2.66826,3.87398,3.8798,3.92701,3.99079,5.33376,6.79944,8.4137,9.33665,0.198149,0.410381,1.13194,1.18918,1.19233,1.20304,1.34119,1.62302,1.62407,1.63252,1.64372,1.8344,1.97948,2.09709,2.15151,9.33665,2.15151,0.9387,0.974663,2.37389,11.2634,12.4014,12.4667,12.691,15.9139,24.9826,25.0246,25.3646,25.8224,35.1099,44.6306,54.5558,60.0161
-9.10729,1,0.405963,2,3,0,9.86375,0.719517,0.237973,2.9979,0.421975,0.250577,1.0629,1.16843,2.10184,2.23869,2.24662,2.27391,2.67556,3.88513,3.89097,3.93833,4.0023,5.3494,6.81953,8.43865,9.36438,0.198111,0.410201,1.13042,1.18752,1.19066,1.20135,1.33912,1.62016,1.62121,1.62964,1.6408,1.83093,1.97559,2.09284,2.1471,9.36438,2.1471,0.938872,0.977929,2.38127,11.2903,12.4303,12.4958,12.7205,15.949,25.0324,25.0745,25.415,25.8736,35.1753,44.7104,54.6503,60.1186
-8.38949,0.954059,0.405963,4,15,0,9.78538,0.702054,0.277717,2.9979,0.407628,0.299685,1.07508,1.19983,2.24676,2.39664,2.40531,2.43516,2.87322,4.18614,4.19246,4.24377,4.31308,5.77122,7.36112,9.1114,10.1119,0.19704,0.405184,1.0905,1.14387,1.1468,1.15678,1.28524,1.54646,1.54743,1.55526,1.56562,1.74194,1.87598,1.9846,2.03485,10.1119,2.03485,0.943657,0.995981,2.40976,11.2114,12.327,12.391,12.6107,15.7638,24.6114,24.6523,24.9836,25.4297,34.4723,43.7338,53.3834,58.6903
-8.02948,0.996771,0.405963,2,7,0,8.76276,0.709032,0.250784,2.9979,0.417397,0.266164,1.06678,1.1785,2.14955,2.29073,2.29891,2.32705,2.7408,3.98464,3.99064,4.0393,4.10505,5.48891,6.99869,8.66123,9.61171,0.197769,0.408581,1.11701,1.17282,1.17589,1.18634,1.32089,1.59506,1.59608,1.6043,1.61519,1.80051,1.94148,2.05573,2.10859,9.61171,2.10859,0.940427,0.990353,2.40641,11.3371,12.4761,12.5415,12.766,15.9894,25.0499,25.0918,25.4314,25.8885,35.1604,44.662,54.5651,60.0126
-8.02443,0.998905,0.405963,3,11,0,8.13771,0.708089,0.254957,2.9979,0.415896,0.271289,1.06805,1.18179,2.16487,2.30744,2.31569,2.34411,2.76172,4.01651,4.02256,4.07165,4.13795,5.53359,7.05605,8.73248,9.69088,0.197656,0.408053,1.11276,1.16817,1.17122,1.18159,1.31514,1.58717,1.58819,1.59634,1.60715,1.79099,1.93081,2.04413,2.09656,9.69088,2.09656,0.940931,0.991015,2.40638,11.3142,12.4491,12.5142,12.7379,15.949,24.9725,25.0143,25.3524,25.8076,35.0396,44.4995,54.3586,59.7816
-8.0299,0.999073,0.405963,2,7,0,8.04867,0.709329,0.253103,2.9979,0.416564,0.269009,1.06748,1.18033,2.15807,2.30003,2.30825,2.33655,2.75244,4.00238,4.00841,4.05731,4.12336,5.51378,7.03063,8.70089,9.65578,0.197706,0.408288,1.11464,1.17023,1.17329,1.18369,1.31769,1.59066,1.59168,1.59986,1.6107,1.7952,1.93552,2.04926,2.10188,9.65578,2.10188,0.940707,0.989574,2.40361,11.3112,12.4466,12.5118,12.7355,15.9484,24.9777,25.0195,25.3579,25.8134,35.0523,44.5196,54.3867,59.8143
