                 Mean      MCSE        StdDev         5%        50%        95%       N_Eff   N_Eff/s    R_hat
lp__        -9.044590  0.020336  1.022100e+00 -11.066500  -8.737310  -8.070830  2526.11000  23.36930  1.00165
h            0.707601  0.000155  8.700860e-03   0.693415   0.707652   0.722007  3138.46000  29.03430  1.00208
Om           0.258789  0.000496  2.798460e-02   0.214670   0.257481   0.306206  3186.85000  29.48190  1.00233
k            2.997900       NaN  1.327890e-13   2.997900   2.997900   2.997900         NaN       NaN      NaN
lambda       0.414407  0.000180  1.014180e-02   0.397025   0.414987   0.430188  3183.16000  29.44780  1.00234
deriv_0      0.276573  0.000617  3.477350e-02   0.222810   0.274403   0.336274  3181.07000  29.42850  1.00235
S[1,1]       1.069330  0.000153  8.613420e-03   1.055960   1.068820   1.084080  3182.46000  29.44130  1.00234
S[1,2]       0.197547  0.000013  7.562340e-04   0.196252   0.197588   0.198726  3183.87000  29.45430  1.00234
S[2,1]       1.184930  0.000392  2.211250e-02   1.150280   1.183780   1.222570  3185.21000  29.46680  1.00233
S[2,2]       0.407578  0.000062  3.526890e-03   0.401598   0.407735   0.413153  3187.63000  29.48910  1.00232
S[3,1]       2.176660  0.001798  1.015820e-01   2.012430   2.174100   2.345460  3192.21000  29.53150  1.00230
S[3,2]       1.110100  0.000494  2.791860e-02   1.064550   1.110210   1.156290  3194.52000  29.55290  1.00227
S[4,1]       2.320180  0.001959  1.107120e-01   2.141010   2.317490   2.504000  3192.37000  29.53300  1.00230
S[4,2]       1.165330  0.000540  3.052530e-02   1.115640   1.165390   1.215960  3194.60000  29.55360  1.00226
S[5,1]       2.328490  0.001969  1.112340e-01   2.148470   2.325800   2.513170  3192.37000  29.53300  1.00230
S[5,2]       1.168370  0.000543  3.067040e-02   1.118450   1.168420   1.219240  3194.58000  29.55350  1.00226
S[6,1]       2.357100  0.002000  1.130230e-01   2.174150   2.354370   2.544720  3192.40000  29.53330  1.00230
S[6,2]       1.178710  0.000551  3.116500e-02   1.128000   1.178750   1.230420  3194.56000  29.55320  1.00226
S[7,1]       2.777420  0.002452  1.385500e-01   2.552760   2.774300   3.007070  3192.64000  29.53550  1.00229
S[7,2]       1.311840  0.000667  3.768790e-02   1.250810   1.311710   1.374670  3194.54000  29.55310  1.00226
S[8,1]       4.040080  0.003734  2.109960e-01   3.697320   4.035680   4.389250  3192.86000  29.53760  1.00229
S[8,2]       1.583010  0.000913  5.159240e-02   1.500090   1.582480   1.669650  3194.11000  29.54910  1.00224
S[9,1]       4.046170  0.003740  2.113380e-01   3.702850   4.041760   4.395900  3192.87000  29.53760  1.00229
S[9,2]       1.584020  0.000914  5.164530e-02   1.501020   1.583490   1.670750  3194.09000  29.54890  1.00224
S[10,1]      4.095560  0.003789  2.141090e-01   3.747730   4.091100   4.449870  3192.87000  29.53770  1.00229
S[10,2]      1.592150  0.000921  5.207090e-02   1.508480   1.591600   1.679610  3194.10000  29.54900  1.00224
S[11,1]      4.162270  0.003855  2.178460e-01   3.808360   4.157740   4.522760  3192.87000  29.53770  1.00229
S[11,2]      1.602920  0.000931  5.263520e-02   1.518360   1.602350   1.691350  3194.06000  29.54860  1.00224
S[12,1]      5.566460  0.005233  2.956860e-01   5.085840   5.560450   6.055530  3192.94000  29.53830  1.00229
S[12,2]      1.786190  0.001103  6.232670e-02   1.686410   1.785310   1.891240  3193.74000  29.54560  1.00224
S[13,1]      7.098190  0.006719  3.796400e-01   6.480970   7.090540   7.726000  3192.96000  29.53850  1.00229
S[13,2]      1.925580  0.001235  6.977680e-02   1.814120   1.924460   2.043430  3193.49000  29.54340  1.00223
S[14,1]      8.784770  0.008346  4.715810e-01   8.017990   8.775320   9.564550  3192.98000  29.53860  1.00229
S[14,2]      2.038550  0.001342  7.584670e-02   1.917580   2.037230   2.166820  3193.30000  29.54160  1.00223
S[15,1]      9.748970  0.009274  5.240150e-01   8.896900   9.738490  10.615400  3192.99000  29.53870  1.00229
S[15,2]      2.090820  0.001392  7.866210e-02   1.965440   2.089400   2.223930  3193.21000  29.54080  1.00223
E            9.748970  0.009270  5.240100e-01   8.896900   9.738490  10.615400  3192.98709  29.53871  1.00229
intofEinv    2.090820  0.001390  7.866000e-02   1.965440   2.089400   2.223930  3193.21007  29.54077  1.00223
correction   0.941360  0.000060  3.360000e-03   0.936020   0.941240   0.947020  3189.31174  29.50471  1.00231
dGW[1]       0.991281  0.000147  8.983060e-03   0.976587   0.991228   1.005930  3728.47000  34.49250  1.00155
dGW[2]       2.405830  0.000214  1.728550e-02   2.377140   2.405860   2.433840  6550.86000  60.60280  1.00055
dGW[3]      11.298500  0.002216  1.581090e-01  11.039000  11.298700  11.558600  5092.19000  47.10850  1.00135
dGW[4]      12.431200  0.002628  1.840570e-01  12.130500  12.431800  12.733400  4904.64000  45.37340  1.00141
dGW[5]      12.496200  0.002652  1.855740e-01  12.192900  12.496700  12.800700  4895.36000  45.28760  1.00142
dGW[6]      12.719400  0.002736  1.908060e-01  12.407600  12.720100  13.032900  4864.71000  45.00400  1.00143
dGW[7]      15.924100  0.003986  2.689800e-01  15.486500  15.922300  16.367600  4554.19000  42.13140  1.00154
dGW[8]      24.929300  0.007813  5.064970e-01  24.107100  24.923700  25.777500  4202.92000  38.88180  1.00169
dGW[9]      24.971000  0.007831  5.076320e-01  24.146900  24.965300  25.821000  4202.00000  38.87320  1.00169
dGW[10]     25.308400  0.007980  5.168340e-01  24.470200  25.302800  26.173600  4194.76000  38.80620  1.00169
dGW[11]     25.762700  0.008181  5.292470e-01  24.903900  25.756900  26.647900  4185.40000  38.71970  1.00170
dGW[12]     34.976000  0.012331  7.854870e-01  33.702700  34.966100  36.298200  4057.46000  37.53610  1.00175
dGW[13]     44.416500  0.016688  1.053920e+00  42.716100  44.399300  46.186300  3988.67000  36.89960  1.00178
dGW[14]     54.255400  0.021295  1.337500e+00  52.101100  54.232600  56.505000  3944.87000  36.49450  1.00180
