# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = SnIa_model
# start_datetime = 2023-07-24 11:03:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 1500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmprpjy9d28/dmi8abf_.json
# init = /tmp/tmprpjy9d28/_f5szf68.json
# random
#   seed = 9928
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/fQ-Lfree/SnIa/SnIa-20230724120309.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,lambda,theta.1,theta.2,deriv_0,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,S.6.1,S.7.1,S.8.1,S.9.1,S.10.1,S.11.1,S.12.1,S.13.1,S.14.1,S.15.1,S.16.1,S.17.1,S.18.1,S.19.1,S.20.1,S.21.1,S.22.1,S.23.1,S.24.1,S.25.1,S.26.1,S.27.1,S.28.1,S.29.1,S.30.1,S.31.1,S.32.1,S.33.1,S.34.1,S.35.1,S.36.1,S.37.1,S.38.1,S.39.1,S.40.1,S.1.2,S.2.2,S.3.2,S.4.2,S.5.2,S.6.2,S.7.2,S.8.2,S.9.2,S.10.2,S.11.2,S.12.2,S.13.2,S.14.2,S.15.2,S.16.2,S.17.2,S.18.2,S.19.2,S.20.2,S.21.2,S.22.2,S.23.2,S.24.2,S.25.2,S.26.2,S.27.2,S.28.2,S.29.2,S.30.2,S.31.2,S.32.2,S.33.2,S.34.2,S.35.2,S.36.2,S.37.2,S.38.2,S.39.2,S.40.2,Delta,A,B,C
# Adaptation terminated
# Step size = 0.932635
# Diagonal elements of inverse mass matrix:
# 0.00273033
-25.2458,0.93364,0.932635,1,3,0,25.637,0.32694,0.389237,0.32694,0.389237,0.363644,1.00517,1.0072,1.00987,1.01238,1.015,1.01814,1.02158,1.02486,1.02824,1.03205,1.03541,1.04032,1.04344,1.04906,1.0529,1.05845,1.06437,1.07006,1.07723,1.0838,1.09225,1.10028,1.11073,1.11941,1.13129,1.1439,1.15895,1.17418,1.19102,1.21439,1.23617,1.26449,1.29814,1.34413,1.39152,1.4764,1.56979,1.70352,2.02263,2.50102,0.0139641,0.019331,0.0262718,0.0327003,0.0393098,0.0470811,0.0554156,0.0632341,0.0711247,0.0798614,0.0874069,0.0981984,0.104917,0.116769,0.124666,0.135844,0.147433,0.158302,0.171622,0.183468,0.198266,0.211858,0.228954,0.242676,0.260804,0.279265,0.30037,0.320773,0.342337,0.370692,0.395668,0.426304,0.460336,0.503341,0.544072,0.609736,0.673462,0.753035,0.905287,1.07367,23.6865,3.25904e+07,1.36977e+06,57571.6
-25.574,0.960851,0.932635,2,7,0,25.6586,0.348782,0.380841,0.348782,0.380841,0.393161,1.00558,1.00778,1.01067,1.01338,1.01622,1.01961,1.02332,1.02686,1.03051,1.03463,1.03825,1.04355,1.04692,1.05299,1.05713,1.06311,1.06948,1.07562,1.08334,1.09041,1.09951,1.10814,1.11936,1.12869,1.14144,1.15496,1.17108,1.18738,1.20538,1.23032,1.25353,1.28367,1.3194,1.36814,1.41823,1.5077,1.60581,1.74584,2.07854,2.57533,0.0139612,0.0193254,0.0262615,0.0326842,0.0392866,0.0470476,0.055369,0.0631733,0.0710474,0.0797636,0.0872894,0.0980494,0.104746,0.116557,0.124424,0.135555,0.14709,0.157905,0.171153,0.18293,0.197634,0.211133,0.228103,0.241715,0.259688,0.277979,0.298874,0.319057,0.340373,0.368376,0.393017,0.423211,0.456716,0.498996,0.538986,0.603349,0.665697,0.743411,0.891758,1.05544,23.7237,3.26153e+07,1.3703e+06,57571.6
-26.3725,0.953001,0.932635,2,3,0,26.3734,0.356318,0.377909,0.356318,0.377909,0.403509,1.00573,1.00799,1.01095,1.01373,1.01664,1.02012,1.02393,1.02757,1.03131,1.03553,1.03925,1.04468,1.04814,1.05436,1.0586,1.06474,1.07127,1.07756,1.08547,1.09272,1.10204,1.11087,1.12237,1.13191,1.14497,1.1588,1.17529,1.19195,1.21035,1.23583,1.25953,1.29028,1.32672,1.37639,1.4274,1.51841,1.6181,1.76025,2.09752,2.60049,0.0139602,0.0193235,0.0262578,0.0326786,0.0392784,0.0470359,0.0553528,0.063152,0.0710204,0.0797295,0.0872484,0.0979974,0.104687,0.116483,0.124339,0.135454,0.146971,0.157767,0.17099,0.182743,0.197415,0.210881,0.227808,0.241382,0.259302,0.277534,0.298357,0.318466,0.339697,0.36758,0.392107,0.422152,0.455478,0.497515,0.537257,0.601186,0.663077,0.740177,0.887242,1.04938,23.7362,3.26239e+07,1.37048e+06,57571.6
-28.1092,0.717881,0.932635,1,1,0,28.1168,0.367148,0.373663,0.367148,0.373663,0.418527,1.00594,1.00828,1.01135,1.01424,1.01726,1.02087,1.02481,1.02858,1.03246,1.03684,1.04069,1.04632,1.0499,1.05634,1.06074,1.0671,1.07386,1.08036,1.08856,1.09605,1.10569,1.11483,1.12671,1.13657,1.15006,1.16434,1.18136,1.19854,1.21751,1.24375,1.26815,1.29978,1.33723,1.38821,1.44052,1.53372,1.63565,1.78078,2.1245,2.63623,0.0139588,0.0193206,0.0262526,0.0326705,0.0392666,0.0470189,0.0553292,0.0631212,0.0709813,0.07968,0.087189,0.0979221,0.104601,0.116376,0.124217,0.135308,0.146798,0.157568,0.170754,0.182473,0.197098,0.210519,0.227383,0.240903,0.258747,0.276895,0.297615,0.317617,0.338727,0.366439,0.390805,0.420638,0.453711,0.495404,0.534795,0.598113,0.659364,0.735605,0.880882,1.04089,23.7538,3.26363e+07,1.37074e+06,57571.6
-25.4035,1,0.932635,2,7,0,27.6468,0.324436,0.39019,0.324436,0.39019,0.360306,1.00512,1.00713,1.00978,1.01227,1.01487,1.01798,1.02138,1.02463,1.02798,1.03176,1.03509,1.03995,1.04304,1.04862,1.05242,1.05793,1.06379,1.06943,1.07654,1.08305,1.09143,1.09938,1.10974,1.11835,1.13014,1.14264,1.15757,1.17267,1.18938,1.21257,1.23418,1.26229,1.29569,1.34137,1.38844,1.47279,1.56563,1.69862,2.01613,2.49236,0.0139645,0.0193316,0.0262729,0.0327021,0.0393124,0.0470848,0.0554209,0.063241,0.0711334,0.0798724,0.0874202,0.0982153,0.104936,0.116793,0.124694,0.135877,0.147472,0.158347,0.171675,0.183529,0.198338,0.21194,0.229052,0.242786,0.260932,0.279412,0.300542,0.32097,0.342562,0.370959,0.395973,0.42666,0.460755,0.503844,0.544662,0.61048,0.674369,0.754162,0.906881,1.07583,23.6821,3.25876e+07,1.36971e+06,57571.6
-25.4683,0.988102,0.932635,1,1,0,25.5223,0.323562,0.390522,0.323562,0.390522,0.359142,1.0051,1.00711,1.00975,1.01223,1.01482,1.01792,1.02131,1.02455,1.02789,1.03166,1.03497,1.03982,1.04291,1.04846,1.05225,1.05774,1.06358,1.06921,1.07629,1.08278,1.09114,1.09907,1.1094,1.11798,1.12973,1.1422,1.15709,1.17215,1.18881,1.21193,1.23349,1.26153,1.29484,1.3404,1.38736,1.47153,1.56417,1.6969,2.01386,2.48933,0.0139646,0.0193318,0.0262733,0.0327027,0.0393134,0.0470862,0.0554227,0.0632434,0.0711365,0.0798763,0.0874249,0.0982212,0.104943,0.116802,0.124704,0.135889,0.147485,0.158363,0.171694,0.183551,0.198363,0.211969,0.229086,0.242824,0.260976,0.279464,0.300602,0.321038,0.342641,0.371052,0.39608,0.426785,0.460901,0.50402,0.544868,0.61074,0.674686,0.754557,0.90744,1.07659,23.6806,3.25866e+07,1.36969e+06,57571.6
-25.0168,0.976136,0.932635,1,3,0,25.6809,0.336303,0.385656,0.336303,0.385656,0.37621,1.00534,1.00745,1.01021,1.01281,1.01552,1.01877,1.02232,1.02571,1.02921,1.03315,1.03662,1.0417,1.04492,1.05074,1.0547,1.06044,1.06655,1.07243,1.07984,1.08662,1.09535,1.10363,1.11441,1.12337,1.13563,1.14863,1.16414,1.17983,1.19717,1.22121,1.24361,1.27271,1.30726,1.35444,1.403,1.48987,1.5853,1.72176,2.04677,2.53313,0.0139629,0.0193286,0.0262674,0.0326935,0.0392999,0.0470668,0.0553957,0.0632082,0.0710917,0.0798197,0.0873568,0.0981348,0.104844,0.116678,0.124563,0.135721,0.147286,0.158133,0.171421,0.183238,0.197996,0.211548,0.22859,0.242265,0.260327,0.278714,0.299729,0.320037,0.341494,0.369698,0.394529,0.424974,0.458778,0.501469,0.541878,0.606976,0.670102,0.748863,0.899405,1.06572,23.7026,3.26011e+07,1.37e+06,57571.6
-25.0168,0.841363,0.932635,1,3,0,26.0611,0.336303,0.385656,0.336303,0.385656,0.37621,1.00534,1.00745,1.01021,1.01281,1.01552,1.01877,1.02232,1.02571,1.02921,1.03315,1.03662,1.0417,1.04492,1.05074,1.0547,1.06044,1.06655,1.07243,1.07984,1.08662,1.09535,1.10363,1.11441,1.12337,1.13563,1.14863,1.16414,1.17983,1.19717,1.22121,1.24361,1.27271,1.30726,1.35444,1.403,1.48987,1.5853,1.72176,2.04677,2.53313,0.0139629,0.0193286,0.0262674,0.0326935,0.0392999,0.0470668,0.0553957,0.0632082,0.0710917,0.0798197,0.0873568,0.0981348,0.104844,0.116678,0.124563,0.135721,0.147286,0.158133,0.171421,0.183238,0.197996,0.211548,0.22859,0.242265,0.260327,0.278714,0.299729,0.320037,0.341494,0.369698,0.394529,0.424974,0.458778,0.501469,0.541878,0.606976,0.670102,0.748863,0.899405,1.06572,23.7026,3.26011e+07,1.37e+06,57571.6
-25.3586,0.919467,0.932635,1,3,0,25.5912,0.325086,0.389943,0.325086,0.389943,0.361171,1.00513,1.00715,1.0098,1.0123,1.0149,1.01802,1.02143,1.02469,1.02805,1.03183,1.03517,1.04005,1.04315,1.04873,1.05255,1.05806,1.06394,1.06959,1.07672,1.08324,1.09164,1.09962,1.11,1.11862,1.13044,1.14297,1.15793,1.17306,1.18981,1.21304,1.2347,1.26286,1.29633,1.34209,1.38924,1.47373,1.56671,1.69989,2.01782,2.49461,0.0139644,0.0193314,0.0262726,0.0327016,0.0393118,0.0470839,0.0554195,0.0632392,0.0711311,0.0798696,0.0874168,0.0982109,0.104931,0.116787,0.124687,0.135869,0.147462,0.158336,0.171661,0.183513,0.198319,0.211919,0.229026,0.242757,0.260899,0.279374,0.300497,0.320919,0.342504,0.37089,0.395894,0.426568,0.460646,0.503713,0.544509,0.610286,0.674133,0.753869,0.906467,1.07527,23.6833,3.25883e+07,1.36973e+06,57571.6
-27.5786,0.796722,0.932635,2,7,0,27.6215,0.364256,0.374801,0.364256,0.374801,0.414499,1.00589,1.0082,1.01124,1.0141,1.01709,1.02067,1.02457,1.02831,1.03215,1.03649,1.0403,1.04588,1.04943,1.05581,1.06017,1.06646,1.07317,1.07961,1.08773,1.09516,1.10471,1.11377,1.12555,1.13533,1.1487,1.16286,1.17974,1.19678,1.21559,1.24164,1.26585,1.29725,1.33442,1.38506,1.43702,1.52964,1.63098,1.77532,2.11733,2.62673,0.0139591,0.0193214,0.026254,0.0326727,0.0392698,0.0470235,0.0553355,0.0631295,0.0709918,0.0796933,0.0872049,0.0979423,0.104624,0.116404,0.124249,0.135347,0.146844,0.157621,0.170817,0.182545,0.197183,0.210616,0.227496,0.241031,0.258895,0.277065,0.297813,0.317843,0.338985,0.366743,0.391152,0.421042,0.454182,0.495966,0.53545,0.59893,0.660349,0.736818,0.882566,1.04314,23.7492,3.2633e+07,1.37067e+06,57571.6
